Rank,Name,Market Cap,Price,Country
1,Commonwealth Bank,$160.85 B,$96.20,AU
2,BHP Group,$142.51 B,$56.32,AU
3,CSL,$97.75 B,$201.88,AU
4,National Australia Bank,$80.73 B,$26.26,AU
5,Westpac Banking,$75.13 B,$21.66,AU
6,ANZ Bank,$62.62 B,$20.99,AU
7,Macquarie,$61.37 B,$159.36,AU
8,Wesfarmers,$53.82 B,$47.43,AU
9,Atlassian,$50.14 B,$192.83,AU
10,Goodman Group,$47.19 B,$24.69,AU
11,Fortescue,$40.69 B,$13.22,AU
12,Woodside Energy,$31.65 B,$16.62,AU
13,Telstra,$29.71 B,$2.57,AU
14,Transurban,$27.41 B,$8.83,AU
115,Woolworths Group,$26.70 B,$21.86,AU
116,Aristocrat,$24.81 B,$39.43,AU
217,WiseTech Global,$23.31 B,$69.72,AU
18,REA Group,$20.04 B,$151.71,AU
19,Brambles,$17.69 B,$12.70,AU
20,QBE Insurance,$17.55 B,$11.66,AU
21,Coles Group,$15.94 B,$11.90,AU
22,Suncorp,$15.45 B,$12.15,AU
23,Santos,$15.14 B,$4.66,AU
24,Pro Medicus,$13.59 B,$130.14,AU
25,Northern Star,$13.33 B,$11.60,AU
26,Scentre Group,$12.64 B,$2.43,AU
27,Cochlear,$12.63 B,$193.00,AU
28,Insurance Australia Group,$11.85 B,$5.00,AU
29,"Seven Group Holdings
(SGH)",$11.72 B,$28.80,AU
30,Reece Group,$11.66 B,$18.05,AU
31,Origin Energy,$11.35 B,$6.59,AU
32,South32,$11.09 B,$2.46,AU
33,Computershare,$10.44 B,$17.67,AU
34,Carsales,$9.53 B,$25.26,AU
35,ASX,$8.77 B,$45.26,AU
36,Sonic Healthcare,$8.69 B,$18.09,AU
137,Washington H. Soul Pattinson and Company (Soul Patts),$8.59 B,$23.39,AU
138,Stockland,$8.54 B,$3.58,AU
39,Qantas Airways,$7.78 B,$4.98,AU
40,The Lottery Corporation,$7.59 B,$3.41,AU
41,NEXTDC,$7.53 B,$11.76,AU
242,Evolution Mining,$7.02 B,$3.53,AU
143,Vicinity Centres,$6.82 B,$1.50,AU
144,Medibank,$6.75 B,$2.45,AU
45,Ramsay Health Care,$6.50 B,$28.25,AU
146,BlueScope Steel,$6.45 B,$14.72,AU
147,GPT Group,$6.41 B,$3.35,AU
48,Treasury Wine Estates,$6.27 B,$7.73,AU
49,Australian Foundation Investment Company,$6.24 B,$4.96,AU
50,APA Group,$6.18 B,$4.78,AU
151,Seek Limited,$6.09 B,$17.08,AU
152,JB Hi-Fi,$5.90 B,$53.96,AU
253,Orica,$5.81 B,$11.95,AU
54,TPG Telecom,$5.79 B,$3.12,AU
155,Mirvac Group,$5.75 B,$1.46,AU
156,Endeavour Group,$5.70 B,$3.18,AU
357,Pilbara Minerals,$5.53 B,$1.84,AU
58,Yancoal,$5.51 B,$4.18,AU
59,Dexus,$5.35 B,$4.98,AU
160,Technology One,$5.35 B,$16.42,AU
261,Worley,$5.19 B,$9.85,AU
62,AGL Energy,$5.19 B,$7.72,AU
1263,Mineral Resources,$5.17 B,$26.35,AU
64,Charter Hall Group,$5.11 B,$10.82,AU
265,Lynas,$4.83 B,$5.18,AU
66,Atlas Arteria,$4.80 B,$3.31,AU
267,Telix Pharmaceuticals,$4.79 B,$14.32,AU
168,ALS Global,$4.65 B,$9.61,AU
169,Bendigo and Adelaide Bank,$4.62 B,$8.18,AU
170,Netwealth,$4.60 B,$18.86,AU
171,Argo Investments,$4.53 B,$5.94,AU
272,Ampol,$4.51 B,$18.96,AU
73,Qube Holdings,$4.51 B,$2.55,AU
174,Cleanaway Waste Management,$4.35 B,$1.95,AU
175,Aurizon Holdings,$4.26 B,$2.32,AU
76,Boral,$4.15 B,$3.84,AU
177,Steadfast Group,$4.00 B,$3.62,AU
178,Harvey Norman,$3.91 B,$3.14,AU
79,Whitehaven Coal,$3.80 B,$4.54,AU
80,HUB24 Limited,$3.68 B,$45.39,AU
81,Breville Group,$3.26 B,$22.70,AU
82,Lendlease,$3.18 B,$4.61,AU
83,Ansell,$3.06 B,$20.99,AU
84,Viva Energy,$3.02 B,$1.90,AU
85,Brickworks Limited,$2.84 B,$18.58,AU
186,Alumina Limited,$2.80 B,$0.97,AU
187,New Hope Corporation,$2.79 B,$3.31,AU
288,Nickel Industries Limited,$2.75 B,$0.64,AU
289,Perseus Mining,$2.71 B,$1.97,AU
290,IGO Limited,$2.70 B,$3.58,AU
291,Pinnacle Investment Management Group,$2.64 B,$13.04,AU
92,Metcash,$2.59 B,$2.37,AU
493,Paladin Energy,$2.59 B,$8.67,AU
94,IDP Education,$2.56 B,$9.22,AU
295,Super Retail Group,$2.54 B,$11.28,AU
96,AUB Group,$2.54 B,$21.80,AU
197,Zip Co,$2.52 B,$1.93,AU
398,AMP Limited,$2.51 B,$0.99,AU
199,ARB Corporation Limited,$2.34 B,$28.52,AU
1100,National Storage REIT,$2.33 B,$1.69,AU
