Rank,Name,Market Cap,Price,Country
1,Petrobras,$87.48 B,$13.96,BR
2,Nu Holdings,$69.63 B,$14.54,BR
3,Itaú Unibanco,$56.33 B,$6.16,BR
4,Vale,$45.48 B,$10.57,BR
5,WEG ON,$40.51 B,$9.66,BR
6,Banco Santander Brasil,$37.07 B,$4.97,BR
7,Ambev,$36.01 B,$2.29,BR
8,BTG Pactual,$27.74 B,$2.71,BR
9,Banco do Brasil,$26.65 B,$4.67,BR
10,Banco Bradesco,$26.64 B,$2.66,BR
11,Klabin,$22.58 B,$3.64,BR
12,Itaúsa,$19.12 B,$1.86,BR
13,Telefonica Brasil,$15.60 B,$9.52,BR
14,Centrais Electricas Brasileiras,$15.40 B,$6.73,BR
15,JBS,$13.55 B,$6.11,BR
16,Suzano,$12.26 B,$9.90,BR
17,Rede D'Or Sao Luiz,$11.64 B,$5.19,BR
18,BB Seguridade Participações,$11.56 B,$5.96,BR
19,Sabesp,$11.24 B,$16.20,BR
20,B3,$10.26 B,$1.90,BR
21,XP Inc.,$9.68 B,$18.08,BR
22,Localiza,$7.91 B,$7.46,BR
23,RaiaDrogasil,$7.62 B,$4.45,BR
24,TIM S.A.,$7.42 B,$15.29,BR
25,Equatorial Energia,$7.12 B,$5.72,BR
26,BRF,$7.01 B,$4.28,BR
27,CPFL Energia,$6.60 B,$5.74,BR
228,Embraer,$6.49 B,$35.32,BR
129,Gerdau,$6.39 B,$3.19,BR
230,Cemig,$6.21 B,$1.94,BR
231,Rumo,$6.21 B,$3.36,BR
132,Petro Rio,$6.15 B,$7.35,BR
33,ENGIE Brasil,$5.93 B,$7.27,BR
34,CSN Mineração,$5.71 B,$1.05,BR
135,Copel,$5.13 B,$7.01,BR
136,Hapvida,$4.79 B,$0.64,BR
37,Porto Seguro,$4.14 B,$6.45,BR
38,Ultrapar Participacoes,$4.01 B,$3.66,BR
39,Cosan,$3.87 B,$8.20,BR
40,Natura&Co,$3.55 B,$2.57,BR
41,StoneCo,$3.37 B,$11.02,BR
42,Lojas Renner,$3.09 B,$3.24,BR
43,TOTVS,$2.99 B,$5.06,BR
44,Inter & Co,$2.91 B,$6.64,BR
45,Comgás,$2.82 B,$22.44,BR
46,Companhia Siderúrgica Nacional,$2.75 B,$2.08,BR
47,PagSeguro,$2.67 B,$8.37,BR
48,Multiplan Empreendimentos Imobiliários,$2.63 B,$4.57,BR
149,Braskem,$2.56 B,$6.37,BR
150,Atacadão,$2.56 B,$1.21,BR
51,3R Petroleum,$1.86 B,$4.01,BR
52,Assaí Atacadista,$1.73 B,$6.41,BR
53,Marcopolo,$1.58 B,$1.55,BR
54,Afya,$1.48 B,$16.47,BR
55,Usiminas,$1.34 B,$1.10,BR
56,Bradespar,$1.27 B,$3.11,BR
57,Magazine Luíza,$1.24 B,$1.70,BR
158,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",$1.15 B,$1.06,BR
159,Dexco,$1.15 B,$1.42,BR
60,Iguatemi,$1.08 B,$0.46,BR
61,OdontoPrev,$1.01 B,$1.86,BR
162,Arezzo Indústria e Comércio,$0.96 B,$8.70,BR
163,CI&T,$0.93 B,$6.94,BR
64,Unipar Carbocloro,$0.93 B,$8.12,BR
65,Grendene,$0.83 B,$0.93,BR
66,SIMPAR,$0.77 B,$0.90,BR
67,Banco de Brasília,$0.64 B,$1.61,BR
68,GOL Airlines,$0.60 B,$0.19,BR
69,Vinci Partners,$0.53 B,$10.08,BR
70,Celesc (Centrais Elétricas de Santa Catarina),$0.52 B,$13.95,BR
71,Lavoro,$0.46 B,$4.03,BR
72,Locaweb,$0.46 B,$0.80,BR
73,Brasil Agro,$0.44 B,$4.44,BR
274,Azul,$0.37 B,$3.13,BR
275,Movida Participações,$0.36 B,$1.03,BR
276,Diagnosticos da America (DASA),$0.36 B,$0.49,BR
277,Via S.A.,$0.36 B,$0.15,BR
78,Vitru,$0.30 B,$9.07,BR
79,GPA,$0.21 B,$0.44,BR
80,Vasta Platform,$0.20 B,$2.61,BR
81,Allied Tecnologia,$0.12 B,$1.31,BR
82,Zenvia,$76.56 M,$1.48,BR
83,Méliuz,$52.91 M,$0.61,BR
84,Americanas,$1.79 M,$0.009101,BR
