Rank,Name,Market Cap,Price,Country
1,Royal Bank Of Canada,$176.96 B,$124.99,CA
2,Shopify,$106.78 B,$82.66,CA
3,Toronto Dominion Bank,$99.17 B,$56.67,CA
4,Enbridge,$90.52 B,$41.54,CA
5,Brookfield Corporation,$83.61 B,$55.39,CA
16,Canadian Natural Resources,$75.95 B,$35.70,CA
17,Thomson Reuters,$75.49 B,$167.77,CA
8,Canadian Pacific Railway,$73.53 B,$78.75,CA
9,Canadian National Railway,$70.70 B,$112.26,CA
10,Bank of Montreal,$67.73 B,$92.79,CA
11,Constellation Software,$66.93 B,"$3,159",CA
12,Scotiabank,$65.53 B,$52.90,CA
13,CIBC,$58.96 B,$62.38,CA
14,Manulife Financial,$53.21 B,$30.04,CA
15,Alimentation Couche-Tard,$50.82 B,$53.62,CA
116,Suncor Energy,$49.55 B,$38.98,CA
117,TC Energy,$49.17 B,$47.36,CA
18,Agnico Eagle Mines,$43.44 B,$86.63,CA
19,Imperial Oil,$41.36 B,$77.13,CA
20,Loblaw Companies,$38.37 B,$125.65,CA
21,Barrick Gold,$36.58 B,$20.86,CA
22,lululemon athletica,$36.55 B,$297.74,CA
23,Intact Financial,$34.49 B,$193.38,CA
224,Restaurant Brands International,$33.28 B,$72.75,CA
125,Sun Life Financial,$32.84 B,$56.92,CA
126,Great-West Lifeco,$32.15 B,$34.50,CA
227,National Bank of Canada,$32.14 B,$94.43,CA
28,Cenovus Energy,$31.41 B,$16.91,CA
29,Fairfax Financial,$31.26 B,"$1,258",CA
30,BCE,$30.48 B,$33.39,CA
31,Wheaton Precious Metals,$30.36 B,$66.89,CA
32,Dollarama,$29.13 B,$103.38,CA
33,CGI,$26.12 B,$114.49,CA
34,Teck Resources,$25.85 B,$49.71,CA
35,Franco-Nevada,$25.56 B,$132.73,CA
36,Cameco,$25.23 B,$57.92,CA
37,Pembina Pipeline,$24.94 B,$42.96,CA
38,Telus,$24.02 B,$16.20,CA
39,Nutrien,$23.42 B,$47.31,CA
40,WSP Global,$22.53 B,$180.74,CA
41,Fortis,$22.23 B,$44.83,CA
42,Brookfield Asset Management,$21.38 B,$51.03,CA
143,Rogers Communication,$21.15 B,$39.11,CA
144,George Weston,$21.09 B,$159.62,CA
45,Power Corporation of Canada,$20.69 B,$32.12,CA
46,Hydro One,$19.92 B,$33.23,CA
47,Ivanhoe Mines,$18.91 B,$14.02,CA
48,Tourmaline Oil,$16.75 B,$45.12,CA
49,GFL Environmental,$16.28 B,$41.48,CA
50,Ritchie Bros. Auctioneers,$15.91 B,$86.29,CA
51,Power Financial,$13.55 B,$14.75,CA
52,Metro,$13.50 B,$60.69,CA
53,Kinross Gold,$12.95 B,$10.54,CA
54,Magna International,$12.03 B,$41.85,CA
55,TFI International,$11.39 B,$134.71,CA
56,Emera,$11.16 B,$38.71,CA
57,First Quantum Minerals,$10.85 B,$13.02,CA
58,CCL Industries,$10.66 B,$59.61,CA
59,ARC Resources,$9.98 B,$16.75,CA
60,Stantec,$9.60 B,$84.11,CA
161,Descartes Systems,$9.11 B,$106.50,CA
162,Pan American Silver,$9.01 B,$24.82,CA
263,OpenText,$8.97 B,$33.47,CA
64,Alamos Gold,$8.74 B,$20.79,CA
65,TMX Group,$8.73 B,$31.47,CA
66,Element Fleet Management,$8.58 B,$21.27,CA
267,AtkinsRéalis,$8.51 B,$48.58,CA
168,Saputo,$8.51 B,$20.06,CA
169,FirstService,$8.33 B,$185.09,CA
70,iA Financial,$8.13 B,$85.46,CA
71,Lundin Mining,$8.04 B,$10.36,CA
72,Toromont,$7.97 B,$97.34,CA
673,Bombardier,$7.76 B,$78.51,CA
174,Colliers International,$7.70 B,$149.19,CA
75,Gildan,$7.67 B,$47.22,CA
76,AltaGas,$7.62 B,$25.64,CA
77,Choice Properties REIT,$7.62 B,$10.53,CA
478,West Fraser Timber,$7.59 B,$94.47,CA
179,Topicus,$7.55 B,$91.14,CA
180,Keyera,$7.31 B,$31.92,CA
181,Bausch + Lomb,$7.28 B,$20.68,CA
82,IGM Financial,$7.21 B,$30.51,CA
83,Empire Company,$6.99 B,$29.32,CA
84,Celestica,$6.72 B,$56.68,CA
85,Canadian Tire,$6.59 B,$165.52,CA
86,Lumine Group,$6.36 B,$23.88,CA
87,Canadian Apartment Properties REIT,$6.07 B,$36.01,CA
88,CAE,$6.07 B,$19.04,CA
89,Lundin Gold,$6.06 B,$25.28,CA
90,Quebecor,$5.82 B,$24.80,CA
91,Capstone Copper,$5.53 B,$7.34,CA
192,Onex,$5.42 B,$71.08,CA
193,Canadian Utilities,$5.40 B,$26.39,CA
94,MEG Energy,$5.04 B,$18.74,CA
95,Capital Power,$4.89 B,$37.71,CA
96,PrairieSky Royalty,$4.84 B,$20.28,CA
97,Nuvei,$4.74 B,$33.49,CA
98,Air Canada,$4.74 B,$13.23,CA
199,Definity Financial,$4.58 B,$39.93,CA
2100,Whitecap Resources,$4.52 B,$7.55,CA
