Rank,Name,Market Cap,Price,Country
1,Banco de Chile,$12.55 B,$24.56,CL
2,Sociedad Química y Minera,$10.97 B,$39.34,CL
3,Enel Américas,$10.33 B,$0.09636,CL
4,Banco Santander-Chile,$9.73 B,$20.50,CL
5,Falabella,$9.51 B,$3.79,CL
6,Empresas Copec,$8.54 B,$6.57,CL
7,LATAM Airlines,$8.26 B,$27.19,CL
8,Banco de Crédito e Inversiones,$6.58 B,$30.12,CL
9,Cencosud,$5.83 B,$2.08,CL
10,Quiñenco,$5.55 B,$3.34,CL
11,Empresas CMPC,$4.09 B,$1.64,CL
12,Enel Chile,$3.83 B,$2.77,CL
13,Mallplaza,$3.66 B,$1.67,CL
14,AntarChile,$3.25 B,$7.16,CL
15,Itaú CorpBanca,$2.37 B,$3.10,CL
16,Colbún,$2.21 B,$0.13,CL
17,Compañía Cervecerías Unidas,$2.10 B,$11.36,CL
18,Minera Valparaíso,$1.69 B,$13.55,CL
19,Compañía de Acero del Pacífico,$0.94 B,$6.32,CL
20,Viña Concha y Toro,$0.88 B,$1.19,CL
21,Geopark,$0.45 B,$8.25,CL
