Rank,Name,Market Cap,Price,Country
1,Tencent,$500.65 B,$54.14,CN
2,ICBC,$286.11 B,$0.60,CN
3,Kweichow Moutai,$269.79 B,$214.77,CN
4,Alibaba,$244.00 B,$100.91,CN
5,Agricultural Bank of China,$232.65 B,$0.68,CN
6,PetroChina,$208.69 B,$1.19,CN
7,China Mobile,$207.03 B,$9.42,CN
8,China Construction Bank,$198.06 B,$1.14,CN
9,Bank of China,$187.04 B,$0.70,CN
10,Pinduoduo,$173.40 B,$124.86,CN
11,CATL,$156.69 B,$35.59,CN
12,China Life Insurance,$143.99 B,$6.15,CN
113,Meituan,$140.91 B,$23.31,CN
114,CM Bank,$134.51 B,$5.10,CN
15,Ping An Insurance,$133.68 B,$7.99,CN
116,BYD,$119.37 B,$43.05,CN
117,CNOOC,$119.25 B,$2.41,CN
18,China Shenhua Energy,$110.69 B,$5.80,CN
19,Sinopec,$104.22 B,$0.92,CN
20,China Yangtze Power,$96.10 B,$3.93,CN
21,China Telecom,$79.23 B,$0.60,CN
22,Midea,$79.14 B,$10.41,CN
23,Wuliangye Yibin,$77.97 B,$20.09,CN
24,Xiaomi,$77.50 B,$3.01,CN
25,Postal Savings Bank of China,$73.74 B,$0.78,CN
26,Foxconn Industrial Internet,$73.12 B,$3.68,CN
27,Bank of Communications,$68.15 B,$1.03,CN
128,Zijin Mining,$66.40 B,$2.56,CN
129,Jingdong Mall,$62.04 B,$39.68,CN
30,Industrial Bank,$56.11 B,$2.70,CN
31,CITIC Securities,$54.11 B,$3.86,CN
32,NetEase,$53.39 B,$81.29,CN
33,East Money Information,$49.33 B,$3.13,CN
734,SMIC,$47.39 B,$3.81,CN
135,China Pacific Insurance,$47.08 B,$5.36,CN
236,CITIC Bank,$46.39 B,$0.95,CN
137,Luxshare Precision,$46.10 B,$6.38,CN
338,Mindray,$45.66 B,$37.66,CN
239,Jiangsu Hengrui Medicine,$45.30 B,$7.10,CN
140,Nongfu Spring,$43.98 B,$3.91,CN
141,Shanghai Pudong Development Bank,$41.89 B,$1.43,CN
42,The People's Insurance Company (PICC),$40.81 B,$1.02,CN
43,Trip.com,$40.14 B,$60.50,CN
144,Hikvision,$39.85 B,$4.32,CN
145,Haier Smart Home,$38.90 B,$4.38,CN
146,China State Construction Engineering,$37.99 B,$0.91,CN
147,Gree Electric Appliances,$37.17 B,$6.60,CN
48,CITIC limited,$34.68 B,$1.19,CN
49,Wanhua Chemical,$34.48 B,$10.98,CN
50,Foshan Haitian Flavouring and Food,$33.73 B,$6.07,CN
251,Muyuan Foods,$33.18 B,$6.07,CN
152,Baidu,$32.67 B,$91.62,CN
153,Ping An Bank,$32.19 B,$1.66,CN
254,COSCO Shipping,$30.94 B,$2.04,CN
155,Anta Sports,$30.94 B,$11.01,CN
156,CRRC,$30.89 B,$0.67,CN
57,S.F. Express,$28.61 B,$5.94,CN
58,Luzhou Laojiao,$27.75 B,$18.85,CN
59,Sungrow Power Supply,$27.43 B,$13.23,CN
260,Great Wall Motors,$27.33 B,$3.74,CN
61,China Everbright Bank,$26.93 B,$0.49,CN
262,Li Auto,$26.92 B,$25.26,CN
163,Kuaishou Technology,$25.66 B,$5.95,CN
364,China Tower,$24.67 B,$0.14,CN
265,KE Holdings,$24.50 B,$20.53,CN
166,BeiGene,$24.47 B,$219.92,CN
167,Bank of Ningbo,$24.24 B,$3.67,CN
268,China Securities,$23.98 B,$3.69,CN
169,Yili Group,$23.43 B,$3.68,CN
270,China Merchants Securities,$23.21 B,$2.83,CN
71,Bank of Jiangsu,$23.04 B,$1.26,CN
272,China Minsheng Bank,$22.94 B,$0.55,CN
473,Guotai Junan Securities,$22.21 B,$2.69,CN
274,BOE Technology,$22.21 B,$0.59,CN
275,DiDi,$21.83 B,$4.51,CN
176,Shenzhen Inovance,$21.81 B,$8.15,CN
277,China Railway Group,$21.20 B,$0.52,CN
178,Sany Heavy Industry,$21.17 B,$2.50,CN
179,SAIC Motor,$21.04 B,$1.82,CN
680,China Communications Construction,$20.72 B,$1.49,CN
181,Tencent Music,$20.67 B,$11.77,CN
182,Huatai Securities,$20.66 B,$2.44,CN
283,ZTO Express,$20.42 B,$24.99,CN
84,ZTE,$20.02 B,$4.45,CN
85,WuXi AppTec,$19.96 B,$6.46,CN
286,Aluminum Corporation of China,$19.49 B,$1.23,CN
287,China Tourism Group Duty Free,$19.49 B,$9.58,CN
688,AIER Eye Hospital,$19.41 B,$2.08,CN
189,Yankuang Energy (Yanzhou Coal Mining),$19.21 B,$2.27,CN
390,Seres Group,$19.16 B,$12.70,CN
391,LONGi Green Energy Technology,$18.63 B,$2.46,CN
92,New China Life Insurance,$18.07 B,$6.94,CN
293,YANGHE,$18.02 B,$11.97,CN
194,Anhui Conch Cement,$17.74 B,$2.84,CN
95,Bank of Beijing,$17.25 B,$0.82,CN
696,China Railway Construction,$16.91 B,$1.33,CN
697,Shandong Gold Mining,$16.63 B,$4.05,CN
198,Yum China,$16.57 B,$43.55,CN
99,Geely,$16.50 B,$1.64,CN
100,AMEC,$16.33 B,$26.29,CN
