Rank,Name,Market Cap,Price,Country
1,Novo Nordisk,$518.17 B,$117.33,DK
2,LVMH,$329.91 B,$661.04,FR
3,ASML,$280.78 B,$714.10,NL
4,SAP,$267.68 B,$229.48,DE
5,Accenture,$234.96 B,$376.03,IE
6,Hermès,$234.32 B,"$2,235",FR
7,L'Oréal,$210.00 B,$393.49,FR
8,Prosus,$183.79 B,$42.06,NL
9,Inditex,$182.67 B,$29.34,ES
10,Siemens,$158.18 B,$200.26,DE
11,Deutsche Telekom,$150.22 B,$30.17,DE
12,Schneider Electric,$147.99 B,$263.23,FR
13,TotalEnergies,$147.82 B,$64.91,FR
14,Eaton,$138.16 B,$347.07,IE
15,Sanofi,$134.53 B,$53.66,FR
16,Anheuser-Busch Inbev,$127.74 B,$65.06,BE
17,Allianz,$127.56 B,$325.87,DE
18,Airbus,$118.57 B,$150.21,NL
19,Medtronic,$116.75 B,$91.03,IE
20,Dior,$112.23 B,$622.09,FR
21,Air Liquide,$107.25 B,$185.96,FR
22,EssilorLuxottica,$106.96 B,$235.42,FR
23,Iberdrola,$96.70 B,$15.20,ES
24,Safran,$96.52 B,$230.99,FR
25,Trane Technologies,$90.44 B,$400.80,IE
26,Investor AB,$89.45 B,$29.21,SE
27,Ferrari,$86.09 B,$480.18,IT
28,AXA,$84.35 B,$38.65,FR
29,Atlas Copco,$81.20 B,$15.37,SE
30,Enel,$80.61 B,$7.94,IT
31,BNP Paribas,$80.43 B,$71.19,FR
32,Santander,$77.26 B,$5.03,ES
33,Spotify,$76.70 B,$381.97,SE
34,Intesa Sanpaolo,$76.26 B,$4.29,IT
35,Merck KGaA,$76.08 B,$175.00,DE
36,Munich RE (Münchener Rück),$70.95 B,$530.46,DE
37,UniCredit,$68.61 B,$43.87,IT
38,Porsche,$66.62 B,$73.14,DE
39,Mercedes-Benz,$65.97 B,$61.67,DE
40,Vinci,$64.90 B,$114.03,FR
41,Siemens Healthineers,$62.88 B,$56.22,DE
42,Cement Roadstone Holding,$62.68 B,$92.23,IE
43,NXP Semiconductors,$58.62 B,$230.15,NL
44,Banco Bilbao Vizcaya Argentaria,$56.65 B,$9.83,ES
45,ING,$54.12 B,$17.20,NL
46,Volvo Group,$52.66 B,$25.99,SE
47,Johnson Controls,$51.55 B,$77.17,IE
48,BMW,$51.48 B,$81.01,DE
49,DSV,$51.22 B,$218.98,DK
50,Volkswagen,$50.64 B,$98.50,DE
51,ENI,$48.26 B,$30.79,IT
52,Adyen,$47.66 B,"$1,534",NL
53,DHL Group (Deutsche Post),$47.60 B,$40.73,DE
54,Heineken,$47.41 B,$83.87,NL
55,Universal Music Group,$47.19 B,$25.80,NL
56,Experian,$47.09 B,$51.11,IE
57,Crédit Agricole,$46.78 B,$15.44,FR
58,Dassault Systèmes,$46.70 B,$35.71,FR
59,Compagnie de Saint-Gobain,$45.54 B,$91.16,FR
60,Danone,$45.06 B,$69.96,FR
61,BASF,$44.93 B,$50.34,DE
62,Generali,$44.25 B,$28.93,IT
63,Deutsche Börse,$43.14 B,$234.99,DE
64,Adidas,$43.00 B,$240.83,DE
65,CaixaBank,$42.23 B,$5.87,ES
66,Infineon,$42.07 B,$32.43,DE
67,Nordea Bank,$41.43 B,$11.84,FI
68,ENGIE,$41.31 B,$17.13,FR
69,Flutter Entertainment,$40.96 B,$230.38,IE
70,Wolters Kluwer,$40.45 B,$171.81,NL
71,Ingersoll Rand,$40.36 B,$100.03,IE
72,Stellantis,$37.04 B,$12.91,NL
73,E.ON,$36.61 B,$14.02,DE
74,EQT,$36.06 B,$30.55,SE
75,UCB,$35.96 B,$189.55,BE
76,Henkel,$35.86 B,$90.73,DE
77,Exor,$35.85 B,$105.92,NL
78,Assa Abloy,$35.56 B,$32.02,SE
79,Pernod Ricard,$34.25 B,$136.32,FR
80,Deutsche Bank,$34.02 B,$17.47,DE
81,Thales,$34.01 B,$165.69,FR
82,Argenx,$33.51 B,$560.45,NL
83,Capgemini,$33.21 B,$195.93,FR
84,Hannover Rück,$33.03 B,$273.94,DE
85,Aena,$32.94 B,$219.63,ES
86,Daimler Truck,$32.64 B,$40.87,DE
87,Amadeus IT Group,$31.72 B,$72.81,ES
88,Beiersdorf,$31.45 B,$139.73,DE
89,Siemens Energy,$31.45 B,$39.61,DE
90,Hapag-Lloyd,$30.91 B,$175.92,DE
91,Kering,$30.82 B,$251.49,FR
92,Ahold Delhaize,$30.72 B,$33.06,NL
93,Novozymes,$30.32 B,$65.33,DK
94,Orange,$30.09 B,$11.15,FR
95,Legrand,$30.02 B,$114.52,FR
96,Philips,$29.95 B,$32.14,NL
97,Skandinaviska Enskilda Banken,$29.93 B,$14.60,SE
98,Ferrovial,$29.77 B,$41.42,ES
99,Coloplast,$29.69 B,$131.94,DK
100,KBC,$29.65 B,$74.30,BE
