Rank,Name,Market Cap,Price,Country
1,Nordea Bank,$41.43 B,$11.84,FI
2,KONE,$29.46 B,$56.93,FI
3,Nokia,$26.08 B,$4.79,FI
4,Sampo,$24.33 B,$44.94,FI
5,UPM-Kymmene,$16.27 B,$30.52,FI
6,Fortum,$14.08 B,$15.70,FI
7,Wärtsilä,$12.73 B,$21.61,FI
8,Neste,$12.56 B,$16.35,FI
9,Amer Sports,$9.52 B,$18.86,FI
10,Stora Enso,$9.13 B,$11.55,FI
11,Metso,$8.40 B,$10.16,FI
12,Elisa,$8.01 B,$49.94,FI
13,Kesko,$7.98 B,$19.96,FI
14,Orion Corporation,$7.25 B,$51.39,FI
15,Konecranes,$5.60 B,$70.81,FI
16,Valmet,$4.76 B,$25.89,FI
17,Huhtamäki,$3.92 B,$37.50,FI
18,Kemira,$3.60 B,$23.43,FI
19,Cargotec,$3.45 B,$54.06,FI
20,Kojamo,$2.46 B,$9.97,FI
21,Qt Group,$2.42 B,$95.32,FI
22,Mandatum,$2.39 B,$4.77,FI
23,TietoEVRY,$2.28 B,$19.28,FI
24,Metsä Board,$2.23 B,$7.68,FI
25,Vaisala,$1.90 B,$52.42,FI
26,Outokumpu,$1.51 B,$3.57,FI
27,Terveystalo,$1.37 B,$10.86,FI
28,Fiskars,$1.33 B,$16.51,FI
29,Nokian Tyres,$1.29 B,$9.37,FI
30,Sanoma,$1.19 B,$7.34,FI
31,Alma Media,$1.01 B,$12.39,FI
32,Revenio,$0.96 B,$36.16,FI
33,Musti Group,$0.89 B,$26.72,FI
34,Puuilo,$0.85 B,$10.10,FI
35,Citycon,$0.73 B,$4.00,FI
36,Aktia Bank,$0.73 B,$10.12,FI
37,Ponsse,$0.67 B,$24.13,FI
38,Olvi plc,$0.67 B,$32.57,FI
39,Tokmanni,$0.66 B,$11.35,FI
40,Kempower,$0.62 B,$11.36,FI
41,eQ Oyj,$0.60 B,$14.71,FI
42,YIT,$0.59 B,$2.60,FI
43,Marimekko,$0.57 B,$14.19,FI
44,Ålandsbanken,$0.57 B,$37.54,FI
145,Scanfil,$0.55 B,$8.44,FI
146,Evli,$0.54 B,$20.56,FI
47,Finnair,$0.54 B,$2.64,FI
48,Purmo Group,$0.51 B,$12.12,FI
49,Lindex Group,$0.50 B,$3.12,FI
150,Oma Säästöpankki,$0.49 B,$14.93,FI
151,Enento Group,$0.48 B,$20.62,FI
152,Raisio plc,$0.38 B,$2.43,FI
153,Viking Line Abp,$0.38 B,$22.18,FI
54,Detection Technology,$0.27 B,$18.50,FI
55,Anora Group,$0.25 B,$3.81,FI
56,Remedy Entertainment,$0.23 B,$17.22,FI
57,United Bankers Oyj,$0.21 B,$19.64,FI
58,Talenom,$0.20 B,$4.44,FI
59,Nightingale Health,$0.19 B,$3.19,FI
60,Oriola,$0.18 B,$1.02,FI
61,NoHo Partners,$0.16 B,$8.01,FI
62,Suominen,$0.16 B,$2.86,FI
63,Digia Oyj,$0.16 B,$6.04,FI
64,Kamux,$0.15 B,$3.92,FI
65,Nanoform Finland,$0.14 B,$1.69,FI
66,Titanium Oyj,$0.11 B,$10.87,FI
67,Optomed,$89.04 M,$4.54,FI
68,Verkkokauppa.com,$80.77 M,$1.79,FI
69,Nexstim,$38.5 M,$5.69,FI
70,Nitro Games,$4.81 M,$0.19,FI
