Rank,Name,Market Cap,Price,Country
1,LVMH,$329.91 B,$661.04,FR
2,Hermès,$234.32 B,"$2,235",FR
3,L'Oréal,$210.00 B,$393.49,FR
4,Schneider Electric,$147.99 B,$263.23,FR
5,TotalEnergies,$147.82 B,$64.91,FR
6,Sanofi,$134.53 B,$53.66,FR
7,Dior,$112.23 B,$622.09,FR
8,Air Liquide,$107.25 B,$185.96,FR
9,EssilorLuxottica,$106.96 B,$235.42,FR
10,Safran,$96.52 B,$230.99,FR
11,AXA,$84.35 B,$38.65,FR
12,BNP Paribas,$80.43 B,$71.19,FR
13,Vinci,$64.90 B,$114.03,FR
114,Crédit Agricole,$46.78 B,$15.44,FR
115,Dassault Systèmes,$46.70 B,$35.71,FR
16,Compagnie de Saint-Gobain,$45.54 B,$91.16,FR
17,Danone,$45.06 B,$69.96,FR
18,ENGIE,$41.31 B,$17.13,FR
19,Pernod Ricard,$34.25 B,$136.32,FR
20,Thales,$34.01 B,$165.69,FR
21,Capgemini,$33.21 B,$195.93,FR
22,Kering,$30.82 B,$251.49,FR
123,Orange,$30.09 B,$11.15,FR
124,Legrand,$30.02 B,$114.52,FR
25,Publicis Groupe,$27.26 B,$108.62,FR
26,Michelin,$25.98 B,$36.43,FR
27,Veolia,$23.84 B,$32.65,FR
28,Société Générale,$20.54 B,$25.79,FR
29,Bolloré,$18.10 B,$6.39,FR
30,Dassault Aviation,$15.99 B,$204.48,FR
31,Amundi,$15.40 B,$75.68,FR
32,Bureau Veritas,$14.46 B,$32.26,FR
33,bioMérieux,$13.36 B,$113.28,FR
34,Renault,$12.67 B,$43.88,FR
35,Bouygues,$12.13 B,$32.24,FR
136,Sodexo,$11.88 B,$81.25,FR
137,Aéroports de Paris,$11.77 B,$119.22,FR
38,Unibail-Rodamco-Westfield,$11.69 B,$83.91,FR
39,Vivendi,$11.24 B,$11.34,FR
40,Accor,$10.95 B,$44.97,FR
41,Carrefour,$10.64 B,$16.27,FR
42,Ipsen,$10.25 B,$123.99,FR
43,Alstom,$10.19 B,$22.08,FR
44,Getlink,$9.32 B,$17.22,FR
45,Klépierre,$9.27 B,$32.44,FR
46,Eiffage,$9.09 B,$95.27,FR
47,Edenred,$8.74 B,$35.98,FR
148,Rexel,$8.27 B,$27.90,FR
149,Gecina,$8.18 B,$110.79,FR
50,Française des Jeux,$7.34 B,$39.55,FR
51,Compagnie de l'Odet,$7.19 B,"$1,699",FR
52,Arkema,$6.71 B,$90.12,FR
253,Neoen,$6.51 B,$42.66,FR
54,Nexans,$6.49 B,$148.54,FR
155,SPIE,$6.37 B,$38.21,FR
356,Covivio,$6.36 B,$57.45,FR
57,Teleperformance,$6.24 B,$105.23,FR
58,ALD Automotive,$6.11 B,$7.49,FR
59,Compagnie du Cambodge,$5.87 B,"$10,494",FR
160,Eurazeo,$5.68 B,$79.63,FR
161,Ayvens,$5.66 B,$6.95,FR
262,Groupe SEB,$5.63 B,$103.65,FR
63,Elis,$5.37 B,$22.83,FR
64,Gaztransport & Technigaz,$5.10 B,$137.83,FR
165,Wendel,$4.26 B,$100.56,FR
166,JCDecaux,$4.23 B,$19.78,FR
67,Tikehau Capital,$4.23 B,$24.61,FR
68,Sopra Steria Group,$3.99 B,$197.12,FR
69,Scor,$3.91 B,$21.94,FR
70,Technip Energies,$3.88 B,$22.29,FR
71,Vallourec,$3.62 B,$15.26,FR
72,Rémy Cointreau,$3.39 B,$65.45,FR
73,ALTEN,$3.34 B,$96.34,FR
74,Groupe Lagardère,$3.26 B,$23.10,FR
75,Verallia,$3.23 B,$27.50,FR
76,Virbac SA,$3.13 B,$374.88,FR
77,Soitec,$3.04 B,$85.36,FR
78,Société Foncière Lyonnaise,$3.02 B,$70.54,FR
79,Covivio Hotels,$2.94 B,$19.91,FR
80,Carmila,$2.82 B,$19.97,FR
181,Société Industrielle et Financière de l'Artois,$2.80 B,"$10,548",FR
182,Rubis,$2.79 B,$26.92,FR
83,Pluxee,$2.73 B,$18.73,FR
84,ID Logistics Group,$2.71 B,$414.37,FR
285,Valeo,$2.66 B,$10.99,FR
86,BIC,$2.63 B,$63.94,FR
287,Imerys,$2.62 B,$31.09,FR
188,L.D.C. S.A.,$2.54 B,$73.47,FR
189,Air France-KLM,$2.53 B,$9.65,FR
90,Trigano,$2.49 B,$129.18,FR
91,Coface,$2.45 B,$16.43,FR
92,Financière Moncey Société anonyme,$2.45 B,"$13,416",FR
93,VusionGroup,$2.41 B,$151.57,FR
94,Criteo,$2.37 B,$42.42,FR
95,Altarea,$2.34 B,$107.00,FR
96,Exclusive Networks,$2.31 B,$25.53,FR
297,Robertet,$2.19 B,$897.98,FR
198,Ipsos,$2.18 B,$50.76,FR
199,Constellium,$2.06 B,$14.14,FR
100,Peugeot Invest Société anonyme,$2.02 B,$81.79,FR
