Rank,Name,Market Cap,Price,Country
1,AIA,$86.83 B,$7.98,HK
2,Hong Kong Exchanges & Clearing,$50.71 B,$40.11,HK
3,Bank of China (Hong Kong),$34.75 B,$3.29,HK
4,Sun Hung Kai Properties,$32.17 B,$11.10,HK
15,China Unicom,$27.27 B,$0.88,HK
16,Jardine Matheson,$27.09 B,$37.58,HK
27,Techtronic Industries,$26.94 B,$14.70,HK
8,China Resources Land,$24.21 B,$3.40,HK
9,Hang Seng Bank,$23.72 B,$12.61,HK
10,MTR Corporation,$23.13 B,$3.72,HK
11,CLP Group,$21.77 B,$8.62,HK
12,China Overseas Land & Investment,$21.37 B,$1.95,HK
13,CK Hutchison Holdings,$20.61 B,$5.38,HK
14,Galaxy Entertainment,$19.10 B,$4.37,HK
15,Lenovo,$18.41 B,$1.48,HK
16,CK Infrastructure,$17.95 B,$7.13,HK
17,Henderson Land Development,$16.41 B,$3.39,HK
18,CK Asset Holdings,$14.90 B,$4.26,HK
19,Hong Kong and China Gas,$14.71 B,$0.79,HK
20,Budweiser APAC,$14.25 B,$1.08,HK
21,Power Assets,$14.15 B,$6.64,HK
122,Futu Holdings,$12.73 B,$92.33,HK
223,Link REIT,$12.64 B,$4.91,HK
224,China Resources Beer,$12.60 B,$3.88,HK
125,China Resources Power Holdings,$12.46 B,$2.59,HK
26,Swire Properties,$12.31 B,$2.08,HK
27,Swire Pacific,$10.55 B,$8.28,HK
128,Everbright Securities Company,$10.22 B,$0.99,HK
129,WH Group,$10.18 B,$0.79,HK
230,Hong Kong Telecom,$9.63 B,$1.27,HK
131,Wharf REIC,$9.60 B,$3.16,HK
132,Sino Land,$9.45 B,$1.09,HK
33,China Resources Gas Group,$9.26 B,$4.08,HK
34,Orient Overseas Container Line,$9.09 B,$13.78,HK
35,Chow Tai Fook,$9.05 B,$0.91,HK
236,Kunlun Energy Company,$8.76 B,$1.01,HK
137,Hongkong Land,$8.69 B,$3.94,HK
138,Wharf Holdings,$8.60 B,$2.82,HK
139,Zhuzhou CRRC Times Electric,$8.58 B,$4.21,HK
140,Alibaba Health Information Technology,$8.15 B,$0.51,HK
41,China State Construction International,$8.03 B,$1.60,HK
42,Want Want China,$7.73 B,$0.65,HK
43,SITC International,$7.37 B,$2.79,HK
44,China Merchants Port,$7.30 B,$1.74,HK
45,Bosideng,$6.92 B,$0.63,HK
46,China Taiping Insurance,$6.87 B,$1.91,HK
47,Cathay Pacific,$6.55 B,$1.02,HK
48,ESR,$6.53 B,$1.54,HK
49,HK Electric Investments,$6.02 B,$0.68,HK
50,China Power International Development,$5.76 B,$0.47,HK
51,ASM Pacific Technology,$4.82 B,$11.64,HK
152,China Resources Pharmaceutical Group,$4.74 B,$0.76,HK
153,Xinyi Glass Holdings,$4.65 B,$1.07,HK
254,Haitian International Holdings,$4.63 B,$2.91,HK
55,PCCW,$4.32 B,$0.56,HK
56,Beijing Enterprises Holdings,$4.22 B,$3.36,HK
57,Hang Lung Properties,$4.06 B,$0.85,HK
58,NWS holdings,$4.04 B,$1.01,HK
59,GCL Technology,$3.94 B,$0.15,HK
60,HUTCHMED,$3.56 B,$20.85,HK
161,C&D International Investment Group,$3.47 B,$1.88,HK
162,Bank of East Asia,$3.39 B,$1.29,HK
163,Yuexiu Property,$3.17 B,$0.79,HK
164,Kerry Properties,$3.15 B,$2.17,HK
65,Melco Resorts & Entertainment,$3.06 B,$6.95,HK
66,Guoco,$3.04 B,$9.27,HK
67,DFI Retail Group,$3.03 B,$2.24,HK
68,Kingboard Holdings,$2.72 B,$2.46,HK
69,New World Development Company,$2.62 B,$1.04,HK
70,Shangri-La,$2.61 B,$0.73,HK
71,SJM Holdings,$2.48 B,$0.35,HK
72,First Pacific Company,$2.42 B,$0.57,HK
173,Mandarin Oriental,$2.17 B,$1.72,HK
174,Topsports International,$2.16 B,$0.35,HK
75,Silicon Motion,$1.92 B,$57.15,HK
76,CGN Mining Company,$1.89 B,$0.25,HK
77,Vtech,$1.84 B,$7.28,HK
78,Hang Lung Group,$1.76 B,$1.30,HK
179,Kerry Logistics Network,$1.75 B,$0.97,HK
180,Hysan Development,$1.72 B,$1.68,HK
81,Pacific Basin Shipping,$1.56 B,$0.30,HK
82,Champion REIT,$1.43 B,$0.24,HK
83,Dah Sing Banking Group,$1.34 B,$0.96,HK
84,Hongkong and Shanghai Hotels,$1.22 B,$0.73,HK
85,SUNeVision,$1.15 B,$0.50,HK
186,Fortune REIT,$1.11 B,$0.55,HK
187,Great Eagle,$1.10 B,$1.48,HK
88,AMTD IDEA Group,$1.07 B,$1.39,HK
89,Dah Sing Financial,$1.06 B,$3.33,HK
90,Melco International Development,$0.94 B,$0.63,HK
91,Vitasoy,$0.91 B,$0.85,HK
92,Miramar Hotel and Investment,$0.83 B,$1.21,HK
93,Tian An China Investments Company,$0.75 B,$0.51,HK
194,Sun Hung Kai & Co.,$0.71 B,$0.36,HK
195,AMTD Digital,$0.68 B,$3.58,HK
196,Allied Group Limited,$0.67 B,$0.19,HK
397,Shimao Property,$0.66 B,$0.18,HK
98,Café de Coral,$0.61 B,$1.07,HK
99,SmarTone Telecommunications,$0.60 B,$0.55,HK
1100,Hutchison Telecommunications Hong Kong Holdings,$0.58 B,$0.12,HK
