Rank,Name,Market Cap,Price,Country
1,Reliance Industries,$220.47 B,$32.58,IN
2,Tata Consultancy Services,$175.64 B,$48.55,IN
3,HDFC Bank,$161.51 B,$63.50,IN
4,Bharti Airtel,$120.57 B,$20.13,IN
5,ICICI Bank,$105.73 B,$29.52,IN
6,Infosys,$91.95 B,$22.20,IN
7,State Bank of India,$86.40 B,$9.68,IN
8,Hindustan Unilever,$75.27 B,$32.04,IN
9,ITC,$71.95 B,$5.75,IN
10,Life Insurance Corporation of India (LIC),$69.69 B,$11.02,IN
11,HCL Technologies,$59.34 B,$21.93,IN
12,Larsen & Toubro,$58.64 B,$42.65,IN
13,Sun Pharmaceutical,$54.13 B,$22.56,IN
14,Bajaj Finance,$49.88 B,$80.66,IN
15,NTPC Limited,$49.01 B,$5.06,IN
16,Maruti Suzuki India,$45.53 B,$144.83,IN
17,Tata Motors,$44.16 B,$10.74,IN
118,Axis Bank,$43.80 B,$14.16,IN
319,Mahindra & Mahindra,$42.74 B,$35.66,IN
220,Kotak Mahindra Bank,$42.31 B,$21.28,IN
121,Oil & Natural Gas,$41.39 B,$3.29,IN
122,Adani Enterprises,$40.36 B,$34.94,IN
23,UltraTech Cement,$37.26 B,$129.29,IN
24,Powergrid Corporation of India,$36.63 B,$3.94,IN
225,Hindustan Aeronautics,$35.91 B,$53.70,IN
26,Coal India,$35.58 B,$5.77,IN
127,Titan Company,$35.48 B,$40.01,IN
328,Adani Ports & SEZ,$35.34 B,$16.36,IN
329,Bajaj Auto,$34.95 B,$124.90,IN
130,Asian Paints,$34.77 B,$36.27,IN
231,Wipro,$34.54 B,$6.61,IN
232,Bajaj Finserv,$33.35 B,$20.92,IN
233,Adani Green Energy,$32.23 B,$20.35,IN
34,Trent Limited,$32.17 B,$90.48,IN
235,Siemens India,$31.69 B,$88.99,IN
36,DMart,$30.75 B,$47.26,IN
37,JSW Steel,$28.48 B,$11.67,IN
38,Adani Power,$27.69 B,$7.18,IN
239,Zomato,$27.56 B,$3.16,IN
40,Nestlé India,$27.00 B,$28.01,IN
241,Indian Oil,$26.89 B,$1.90,IN
42,DLF,$25.36 B,$10.24,IN
43,Hindustan Zinc,$25.26 B,$5.97,IN
44,Jio Financial Services,$24.74 B,$3.89,IN
45,Bharat Electronics,$24.54 B,$3.36,IN
46,Tata Steel,$23.02 B,$1.84,IN
47,Indian Railway Finance,$22.49 B,$1.72,IN
48,Varun Beverages,$22.35 B,$6.88,IN
49,Vedanta,$22.05 B,$5.65,IN
150,Grasim Industries,$21.69 B,$32.33,IN
151,InterGlobe Aviation,$21.09 B,$54.61,IN
152,LTIMindtree,$20.93 B,$70.69,IN
353,ABB India,$20.86 B,$98.49,IN
54,SBI Life Insurance,$20.40 B,$20.36,IN
155,Tech Mahindra,$19.79 B,$20.24,IN
156,Hindalco Industries,$19.67 B,$8.80,IN
257,HDFC Life,$19.08 B,$8.87,IN
158,Pidilite,$19.07 B,$37.51,IN
159,Divis Laboratories,$18.70 B,$70.48,IN
60,Power Finance Corp,$18.21 B,$5.52,IN
261,Tata Power,$17.24 B,$5.40,IN
62,GAIL,$17.18 B,$2.61,IN
263,Bharat Petroleum,$17.12 B,$3.94,IN
364,Ambuja Cements,$16.75 B,$6.80,IN
165,Samvardhana Motherson,$16.68 B,$2.37,IN
166,Rural Electrification Corp,$16.67 B,$6.33,IN
167,Britannia Industries,$16.55 B,$68.73,IN
68,Godrej,$15.98 B,$15.62,IN
69,Eicher Motors,$15.68 B,$57.22,IN
70,TVS Motor,$15.47 B,$32.56,IN
71,Bank of Baroda,$15.11 B,$2.92,IN
72,Shriram Transport Finance,$14.81 B,$39.41,IN
173,Cipla,$14.63 B,$18.12,IN
174,Adani Energy Solutions,$14.56 B,$12.10,IN
175,Cholamandalam Investment and Finance,$14.38 B,$17.11,IN
276,JSW Energy,$14.20 B,$8.14,IN
277,CG Power and Industrial Solutions,$14.10 B,$9.23,IN
178,Punjab National Bank,$13.98 B,$1.22,IN
179,Torrent Pharmaceuticals,$13.65 B,$40.35,IN
280,Bajaj Holdings & Investment,$13.64 B,$122.57,IN
281,Havells India,$13.52 B,$21.56,IN
182,Lodha Group,$13.47 B,$13.53,IN
83,Dr. Reddy's,$13.22 B,$78.74,IN
84,BOSCH India,$12.92 B,$438.20,IN
285,ICICI Prulife,$12.87 B,$8.92,IN
86,United Spirits,$12.63 B,$17.80,IN
287,Mankind Pharma,$12.61 B,$31.49,IN
588,Hero MotoCorp,$12.46 B,$62.36,IN
189,Polycab India,$12.25 B,$81.48,IN
290,Info Edge,$12.22 B,$94.56,IN
391,Solar Industries India,$12.12 B,$133.99,IN
192,IndusInd Bank,$12.12 B,$15.56,IN
293,Zydus Lifesciences,$12.03 B,$11.96,IN
494,Indian Overseas Bank,$12.00 B,$0.64,IN
1095,Tata Consumer Products,$11.98 B,$12.10,IN
296,Dabur,$11.97 B,$6.76,IN
297,Apollo Hospitals,$11.94 B,$83.10,IN
298,ICICI Lombard,$11.91 B,$24.08,IN
399,Cummins India,$11.80 B,$42.58,IN
3100,Indus Towers,$11.78 B,$4.46,IN
