Rank,Name,Market Cap,Price,Country
1,Bank Central Asia,$84.95 B,$0.69,ID
2,Chandra Asri Petrochemical,$49.56 B,$0.57,ID
3,Bank Rakyat Indonesia,$48.57 B,$0.32,ID
4,Bank Mandiri,$43.38 B,$0.46,ID
5,Bayan Resources,$36.95 B,$1.11,ID
6,Telkom Indonesia,$19.75 B,$19.74,ID
7,Bank Negara Indonesia,$13.54 B,$0.36,ID
8,Astra International,$13.32 B,$0.33,ID
9,Indofood CBP,$9.41 B,$0.81,ID
10,Alfamart,$9.03 B,$0.22,ID
11,Indoritel,$8.30 B,$0.59,ID
12,Adaro Energy,$7.42 B,$0.24,ID
13,United Tractors,$6.26 B,$1.73,ID
14,Barito Pacific,$6.14 B,$0.06553,ID
15,Unilever Indonesia,$5.73 B,$0.15,ID
16,Charoen Pokphand Indonesia,$5.34 B,$0.33,ID
17,Sampoerna,$5.29 B,$0.04551,ID
18,Indosat,$5.14 B,$0.16,ID
19,GoTo,$4.73 B,$0.004390,ID
20,Indofood,$4.19 B,$0.48,ID
21,Merdeka Copper Gold,$4.03 B,$0.17,ID
22,Mayora,$3.83 B,$0.17,ID
23,Bank Mega,$3.78 B,$0.32,ID
24,Indah Kiat Pulp & Paper,$2.89 B,$0.53,ID
25,Vale Indonesia,$2.89 B,$0.27,ID
126,Tower Bersama Infrastructure,$2.75 B,$0.12,ID
327,Bank Jago,$2.62 B,$0.19,ID
28,Sarana Menara Nusantara,$2.62 B,$0.05261,ID
329,Mitra Keluarga,$2.60 B,$0.19,ID
130,Permata Bank,$2.54 B,$0.06940,ID
31,Jasa Marga,$2.26 B,$0.31,ID
332,Elang Mahkota Teknologi,$1.99 B,$0.03260,ID
133,XL Axiata,$1.94 B,$0.15,ID
134,Gudang Garam,$1.93 B,$1.01,ID
335,SIG (Semen Indonesia),$1.92 B,$0.28,ID
36,Bank Danamon,$1.65 B,$0.17,ID
37,Pakuwon Jati Tbk,$1.57 B,$0.03260,ID
38,Ace Hardware Indonesia,$1.02 B,$0.06004,ID
39,Bukalapak.com,$0.89 B,$0.008715,ID
40,Astra Agro Lestari,$0.83 B,$0.43,ID
41,Bank Mayapada Internasional,$0.39 B,$0.01498,ID
42,Arwana Citramulia Tbk,$0.35 B,$0.04971,ID
43,Nusantara Pelabuhan Handal,$0.14 B,$0.04971,ID
44,DigiAsia Corp,$90.43 M,$1.49,ID
45,Indonesia Energy,$44.38 M,$4.35,ID
46,Tunas Ridean,N/A,$0.10,ID
47,Pollux Properti Indonesia,N/A,$0.006910,ID
