Rank,Name,Market Cap,Price,Country
1,Check Point Software,$22.57 B,$205.28,IL
2,Teva Pharmaceutical Industries,$20.59 B,$18.18,IL
3,Bank Leumi,$14.89 B,$9.84,IL
4,monday.com,$14.44 B,$289.72,IL
5,Bank Hapoalim,$13.33 B,$10.00,IL
6,CyberArk,$12.94 B,$300.06,IL
7,NICE,$11.19 B,$178.10,IL
8,Mobileye,$10.69 B,$13.19,IL
9,Mizrahi-Tefahot,$10.25 B,$39.69,IL
110,Elbit Systems,$9.49 B,$213.54,IL
111,Wix.com,$9.45 B,$172.47,IL
12,Azrieli Group,$8.78 B,$72.40,IL
13,Israel Discount Bank,$7.00 B,$5.66,IL
14,Global-e,$6.38 B,$38.21,IL
115,Israel Chemicals,$5.43 B,$4.21,IL
116,Nova Measuring Instruments,$5.40 B,$186.03,IL
17,Tower Semiconductor,$5.29 B,$45.26,IL
18,First International Bank of Israel,$4.20 B,$41.95,IL
19,Cellebrite,$3.89 B,$18.15,IL
20,Camtek,$3.72 B,$82.10,IL
21,Melisron,$3.61 B,$76.16,IL
22,Bezeq,$3.41 B,$1.23,IL
323,ZIM Integrated Shipping Services,$2.97 B,$24.70,IL
124,Playtika,$2.79 B,$7.51,IL
125,BIG Shopping Centers,$2.78 B,$113.87,IL
126,The Phoenix Holdings,$2.75 B,$10.96,IL
127,Shufersal,$2.38 B,$8.95,IL
128,Plus500,$2.34 B,$31.53,IL
29,ODDITY Tech,$2.28 B,$40.00,IL
30,Shapir Civil and Marine Engineering,$2.23 B,$6.27,IL
31,Delek Group,$2.17 B,$116.78,IL
232,Sapiens,$2.10 B,$37.78,IL
133,Amot Investment,$2.09 B,$4.44,IL
134,OPC Energy,$2.04 B,$8.01,IL
35,Harel Group,$2.01 B,$9.80,IL
36,Energix Renewable Energies,$1.98 B,$3.61,IL
137,Enlight Renewable Energy,$1.97 B,$16.65,IL
138,Mivne Real Estate (K.D),$1.95 B,$2.62,IL
139,Strauss Group,$1.87 B,$16.11,IL
140,Fattal Holdings (Leonardo Hotels),$1.87 B,$113.87,IL
241,Menora Mivtachim Holdings,$1.80 B,$29.13,IL
42,Gav-Yam Lands,$1.72 B,$8.02,IL
43,Y.H. Dimri Construction & Development,$1.65 B,$84.16,IL
144,Migdal Insurance and Financial Holdings,$1.59 B,$1.51,IL
145,F.I.B.I. Holdings,$1.57 B,$44.54,IL
146,Electra,$1.57 B,$409.13,IL
147,Alony Hetz,$1.53 B,$7.93,IL
48,Navitas Petroleum,$1.50 B,$15.01,IL
49,InMode,$1.36 B,$17.93,IL
250,Aura Investments,$1.31 B,$4.71,IL
51,WalkMe,$1.30 B,$13.95,IL
252,Shikun & Binui,$1.30 B,$2.38,IL
53,Formula Systems,$1.19 B,$78.00,IL
54,Kornit Digital,$1.15 B,$24.32,IL
155,Isrotel,$1.14 B,$19.24,IL
156,Israel Canada (T.R) Ltd,$1.13 B,$3.52,IL
57,Delta Galil Industries,$1.13 B,$43.72,IL
358,Isras Investment Company,$1.02 B,$204.14,IL
159,Fox-Wizel,$1.00 B,$72.53,IL
260,One Software Technologies,$0.98 B,$13.81,IL
261,Lapidoth Capital,$0.98 B,$15.94,IL
162,Radware,$0.97 B,$23.26,IL
363,SolarEdge,$0.97 B,$17.01,IL
64,Nayax,$0.96 B,$26.50,IL
65,The Tel-Aviv Stock Exchange,$0.94 B,$10.17,IL
266,Veridis Environment,$0.88 B,$6.09,IL
167,Ratio Energies,$0.87 B,$0.78,IL
168,El Al Israel Airlines,$0.87 B,$2.12,IL
269,Sano Bruno's Enterprises,$0.87 B,$77.24,IL
170,Pagaya Technologies,$0.85 B,$11.92,IL
171,Africa Israel Residences,$0.85 B,$67.55,IL
72,M.Yochananof and Sons,$0.84 B,$58.21,IL
73,O.Y. Nofar Energy,$0.81 B,$22.64,IL
74,Reit 1 Ltd,$0.79 B,$4.09,IL
175,Riskified,$0.77 B,$4.53,IL
176,Fiverr,$0.77 B,$21.86,IL
277,Partner Communications,$0.76 B,$4.13,IL
478,Kvutzat Acro,$0.76 B,$12.58,IL
179,Isracard,$0.76 B,$3.84,IL
380,Elco Ltd.,$0.76 B,$28.52,IL
81,Villar International,$0.74 B,$42.03,IL
182,Similarweb,$0.74 B,$9.16,IL
183,Cellcom Israel,$0.74 B,$4.47,IL
684,Dan Hotels,$0.72 B,$6.24,IL
85,Danya Cebus,$0.70 B,$22.56,IL
86,Electreon Wireless,$0.68 B,$53.70,IL
87,G City,$0.65 B,$3.62,IL
88,Electra Real Estate,$0.64 B,$10.74,IL
189,Magic Software,$0.56 B,$11.49,IL
190,Ituran,$0.55 B,$27.99,IL
191,Nexxen,$0.55 B,$8.17,IL
192,Stratasys,$0.53 B,$7.54,IL
93,Prashkovsky Investments and Construction,$0.52 B,$25.10,IL
94,Cognyte Software,$0.49 B,$6.95,IL
95,I.D.I. Insurance Company,$0.49 B,$33.39,IL
96,Turpaz Industries,$0.47 B,$4.72,IL
197,Palram Industries,$0.46 B,$18.06,IL
298,Duniec Bros.,$0.45 B,$59.08,IL
99,I.B.I. Investment House,$0.45 B,$35.67,IL
3100,Tadiran Group,$0.45 B,$52.06,IL
