Rank,Name,Market Cap,Price,Country
1,Ferrari,$86.09 B,$480.18,IT
2,Enel,$80.61 B,$7.94,IT
3,Intesa Sanpaolo,$76.26 B,$4.29,IT
4,UniCredit,$68.61 B,$43.87,IT
5,ENI,$48.26 B,$30.79,IT
6,Generali,$44.25 B,$28.93,IT
7,Prysmian Group,$21.11 B,$73.05,IT
8,Poste Italiane,$18.67 B,$14.42,IT
9,Prada,$18.33 B,$7.17,IT
10,Terna,$17.77 B,$8.86,IT
11,Snam,$16.43 B,$4.90,IT
12,Moncler,$15.89 B,$58.73,IT
13,Mediobanca,$14.24 B,$17.23,IT
14,Leonardo,$13.58 B,$23.62,IT
15,Recordati,$11.97 B,$58.15,IT
16,INWIT,$10.86 B,$11.66,IT
17,Banco BPM,$10.21 B,$6.80,IT
18,FinecoBank,$10.09 B,$16.53,IT
19,Davide Campari-Milano,$10.06 B,$8.38,IT
220,Edison,$9.42 B,$1.99,IT
121,Unipol Gruppo,$9.37 B,$13.09,IT
122,Banca Mediolanum,$9.14 B,$12.41,IT
23,BPER Banca,$8.86 B,$6.24,IT
24,Nexi,$7.93 B,$6.45,IT
25,UnipolSai Assicurazioni,$7.91 B,$2.80,IT
26,A2A,$7.49 B,$2.39,IT
27,Banca Monte dei Paschi di Siena,$7.17 B,$5.70,IT
28,Brunello Cucinelli,$6.90 B,$101.48,IT
29,Buzzi Unicem,$6.80 B,$37.56,IT
30,Amplifon,$6.72 B,$29.83,IT
131,DiaSorin,$5.99 B,$112.52,IT
132,Telecom Italia,$5.99 B,$0.27,IT
33,Hera Group,$5.76 B,$4.00,IT
134,Reply,$5.73 B,$153.74,IT
135,Pirelli,$5.68 B,$5.69,IT
36,Banca Generali,$5.20 B,$45.72,IT
37,Italgas,$5.15 B,$6.36,IT
38,Stevanato,$4.96 B,$18.20,IT
39,Interpump Group,$4.70 B,$44.10,IT
140,Technoprobe,$4.36 B,$6.73,IT
141,De' Longhi,$4.31 B,$28.54,IT
42,Saipem,$4.27 B,$2.18,IT
43,ACEA,$4.12 B,$19.39,IT
44,Credito Emiliano,$3.72 B,$10.95,IT
145,Azimut Holding,$3.69 B,$26.06,IT
146,SOL S.p.A.,$3.65 B,$40.30,IT
47,ERG,$3.56 B,$24.32,IT
48,Brembo,$3.53 B,$11.10,IT
49,Banca Popolare di Sondrio,$3.44 B,$7.65,IT
50,Lottomatica Group,$3.09 B,$12.29,IT
51,Iren,$2.87 B,$2.24,IT
152,Iveco Group,$2.75 B,$10.43,IT
153,Webuild S.p.A.,$2.75 B,$2.76,IT
54,Maire Tecnimont,$2.64 B,$8.10,IT
55,Carel Industries,$2.40 B,$21.34,IT
56,ENAV,$2.30 B,$4.26,IT
57,MFE-Mediaforeurope,$2.20 B,$3.36,IT
158,Technogym,$2.06 B,$10.37,IT
159,Ermenegildo Zegna,$2.05 B,$8.15,IT
160,Anima Holding,$1.96 B,$6.35,IT
161,BFF Bank,$1.92 B,$10.26,IT
62,Industrie De Nora,$1.89 B,$9.55,IT
63,Danieli & C. Officine Meccaniche,$1.84 B,$28.35,IT
64,Fincantieri,$1.70 B,$5.31,IT
65,Salcef Group,$1.70 B,$27.91,IT
166,Saras S.p.A.,$1.64 B,$1.73,IT
167,Ariston Holding,$1.63 B,$4.43,IT
168,Cementir,$1.61 B,$10.40,IT
169,Rai Way,$1.60 B,$5.99,IT
270,Intercos,$1.58 B,$16.47,IT
71,TOD'S,$1.55 B,$46.94,IT
72,Sanlorenzo,$1.49 B,$42.41,IT
73,SeSa S.p.A.,$1.45 B,$94.02,IT
74,Moltiply Group (Gruppo Mutuionline),$1.37 B,$36.78,IT
75,Italmobiliare,$1.29 B,$30.62,IT
176,B.F. S.p.A.,$1.21 B,$4.64,IT
177,GVS S.p.A.,$1.21 B,$6.95,IT
78,Salvatore Ferragamo,$1.15 B,$6.95,IT
79,Zignago Vetro,$1.05 B,$11.92,IT
80,Ferretti,$1.05 B,$3.11,IT
81,Juventus Turin,$1.04 B,$2.76,IT
82,Comer Industries,$1.03 B,$36.24,IT
83,EL.En. S.p.A. (Elen Group),$0.95 B,$11.92,IT
84,Piaggio,$0.91 B,$2.59,IT
85,Banco di Desio e della Brianza,$0.82 B,$6.19,IT
86,OVS S.p.A.,$0.77 B,$3.13,IT
87,MARR S.p.A.,$0.76 B,$11.81,IT
88,IVS Group,$0.69 B,$7.68,IT
89,Arnoldo Mondadori Editore,$0.68 B,$2.63,IT
90,Ascopiave,$0.67 B,$3.14,IT
91,Wiit S.p.A.,$0.62 B,$24.13,IT
92,Pharmanutra,$0.59 B,$61.88,IT
93,EuroGroup Laminations,$0.56 B,$3.50,IT
94,F.I.L.A. - Fabbrica Italiana Lapis ed Affini,$0.55 B,$10.91,IT
95,Tinexta,$0.54 B,$11.92,IT
96,The Italian Sea Group,$0.46 B,$8.80,IT
97,Safilo Group,$0.45 B,$1.12,IT
98,RCS MediaGroup,$0.43 B,$0.85,IT
99,Acinque,$0.42 B,$2.17,IT
100,illimity Bank,$0.38 B,$4.65,IT
