Rank,Name,Market Cap,Price,Country
1,Toyota,$222.45 B,$169.17,JP
2,Mitsubishi UFJ Financial,$124.61 B,$10.69,JP
3,Hitachi,$120.63 B,$26.24,JP
4,Sony,$109.22 B,$18.10,JP
5,Fast Retailing,$108.10 B,$352.44,JP
6,Keyence,$107.63 B,$443.80,JP
7,Recruit,$95.66 B,$64.21,JP
8,SoftBank,$87.70 B,$60.61,JP
9,Sumitomo Mitsui Financial Group,$83.32 B,$12.77,JP
10,NTT (Nippon Telegraph & Telephone),$81.06 B,$0.97,JP
11,Shin-Etsu Chemical,$77.95 B,$39.38,JP
12,Chugai Pharmaceutical,$76.45 B,$46.46,JP
13,Mitsubishi Corporation,$74.92 B,$18.84,JP
14,Tokio Marine,$73.16 B,$37.52,JP
115,Tokyo Electron,$72.51 B,$157.38,JP
116,Itōchū Shōji,$71.96 B,$50.24,JP
17,KDDI,$63.38 B,$31.44,JP
118,Nintendo,$62.40 B,$53.42,JP
119,Daiichi Sankyō,$61.88 B,$32.64,JP
20,Mitsui Bussan,$61.44 B,$20.87,JP
21,Mizuho Financial Group,$53.99 B,$4.26,JP
22,Mitsubishi Heavy Industries,$49.48 B,$14.72,JP
23,Japan Tobacco,$48.22 B,$27.16,JP
24,Honda,$47.63 B,$30.50,JP
25,Hoya,$46.92 B,$134.89,JP
26,Takeda Pharmaceutical,$44.85 B,$14.15,JP
27,Denso,$40.23 B,$13.82,JP
28,Advantest,$40.08 B,$54.28,JP
29,Oriental Land,$39.23 B,$23.95,JP
30,7-Eleven,$38.52 B,$14.85,JP
31,Fujitsu,$37.14 B,$20.30,JP
32,Daikin,$36.49 B,$124.67,JP
33,MS&AD Insurance,$35.67 B,$23.27,JP
34,Murata Manufacturing (Murata Seisakusho),$35.15 B,$18.77,JP
35,Japan Post Bank,$33.57 B,$9.29,JP
36,Mitsubishi Electric,$32.66 B,$15.71,JP
37,Otsuka Holdings,$32.47 B,$60.09,JP
38,Canon,$31.45 B,$33.32,JP
39,Fujifilm,$29.28 B,$24.32,JP
140,Terumo,$29.01 B,$19.54,JP
141,Japan Post Holdings,$28.99 B,$9.36,JP
42,Disco Corp.,$28.42 B,$262.34,JP
43,SMC corp,$27.27 B,$426.29,JP
44,Marubeni,$26.34 B,$15.89,JP
45,Sumitomo,$26.34 B,$21.78,JP
146,Bridgestone,$25.57 B,$37.35,JP
147,Mitsui Fudosan,$25.03 B,$8.98,JP
148,ORIX,$24.70 B,$108.15,JP
149,Fanuc,$24.57 B,$26.26,JP
150,Komatsu,$24.51 B,$26.56,JP
351,Renesas Electronics,$24.40 B,$13.62,JP
152,Dai-ichi Life Holdings,$23.61 B,$25.66,JP
153,NEC Corp,$23.57 B,$88.44,JP
54,TDK,$22.64 B,$11.93,JP
155,East Japan Railway,$22.60 B,$19.98,JP
156,NTT Data,$22.45 B,$16.02,JP
57,Toyota Industries,$22.44 B,$73.31,JP
58,Nidec,$22.04 B,$19.17,JP
59,Olympus,$21.52 B,$18.81,JP
260,Aeon,$21.36 B,$24.95,JP
261,Astellas Pharma,$21.19 B,$11.84,JP
262,Sompo Holdings,$21.19 B,$21.84,JP
263,Kaō,$21.16 B,$45.57,JP
64,Central Japan Railway,$20.81 B,$21.15,JP
165,Z Holdings,$20.20 B,$2.84,JP
166,Panasonic,$19.76 B,$8.47,JP
67,Mitsubishi Estate,$19.38 B,$15.49,JP
468,Suzuki Motor,$19.26 B,$9.99,JP
269,Nippon Steel,$19.20 B,$20.29,JP
270,Daiwa House,$19.04 B,$29.99,JP
171,Nomura Research Institute,$18.97 B,$33.17,JP
372,Unicharm,$18.97 B,$32.36,JP
73,Ajinomoto,$18.81 B,$37.35,JP
74,Toyota Tsusho,$18.59 B,$17.62,JP
75,Asahi Group,$17.66 B,$11.62,JP
76,Sekisui House,$16.49 B,$25.44,JP
77,Sumitomo Mitsui Trust Holdings,$16.22 B,$22.55,JP
378,Nippon Paint,$16.18 B,$6.89,JP
179,Inpex,$16.17 B,$13.26,JP
280,Kyocera,$15.87 B,$11.27,JP
381,Resona Holdings,$15.84 B,$6.86,JP
282,Nitori Holdings,$15.63 B,$138.37,JP
83,Nippon Yūsen,$15.58 B,$34.75,JP
184,Nomura Holdings,$15.42 B,$5.22,JP
185,Kubota,$15.27 B,$13.23,JP
786,KEPCO,$15.04 B,$16.86,JP
187,Pan Pacific International Holdings,$14.92 B,$25.01,JP
188,Nippon Sanso,$14.88 B,$34.38,JP
89,Sumitomo Realty & Development,$14.74 B,$31.10,JP
90,ENEOS Holdings,$14.53 B,$5.17,JP
91,Secom,$14.52 B,$35.03,JP
92,Nexon,$14.47 B,$17.44,JP
93,Shimano,$14.45 B,$161.82,JP
94,OBIC,$14.14 B,$32.15,JP
95,Bandai Namco,$13.86 B,$21.19,JP
196,Rakuten,$13.57 B,$6.32,JP
197,Shinkin Central Bank,$13.48 B,"$1,549",JP
398,Lasertec,$13.01 B,$144.27,JP
199,Oracle Corp Japan,$12.97 B,$101.25,JP
2100,ASICS Corporation,$12.94 B,$18.09,JP
