Rank,Name,Market Cap,Price,Country
1,Maybank,$30.28 B,$5.02,MY
2,Tenaga Nasional,$21.36 B,$14.70,MY
3,PBBank (Public Bank Bhd),$20.62 B,$1.06,MY
4,CIMB Group,$20.43 B,$1.91,MY
5,IHH Healthcare,$14.67 B,$1.66,MY
6,PChem (Petronas Chemicals Group),$10.58 B,$1.32,MY
7,(HLBank) Hong Leong Bank,$10.23 B,$4.91,MY
8,Celcomdigi,$9.73 B,$0.83,MY
9,PMetal (Press Metal Aluminium),$9.27 B,$1.13,MY
10,PetGas (Petronas Gas),$8.20 B,$4.14,MY
11,MISC Berhad,$7.99 B,$1.79,MY
12,Sime Darby Plantation,$7.60 B,$1.10,MY
13,Maxis Berhad,$6.75 B,$0.86,MY
14,YTL Power International,$6.54 B,$0.80,MY
15,Sunway,$5.91 B,$1.04,MY
116,YTL Corporation Berhad,$5.87 B,$0.53,MY
117,Telekom Malaysia,$5.83 B,$1.52,MY
18,Nestle Malaysia,$5.57 B,$23.79,MY
119,IOI Corporation Berhad,$5.45 B,$0.88,MY
120,Kuala Lumpur Kepong,$5.40 B,$4.93,MY
21,Gamuda Berhad,$5.37 B,$1.91,MY
22,Axiata Group,$5.12 B,$0.56,MY
23,Hong Leong Financial Group,$4.99 B,$4.40,MY
24,Mr D.I.Y. Group,$4.79 B,$0.51,MY
25,PPB Group Berhad,$4.76 B,$3.35,MY
26,QL Resources,$4.06 B,$1.11,MY
27,Sime Darby,$3.81 B,$0.56,MY
28,Genting Berhad,$3.64 B,$0.95,MY
29,KLCC Property Holdings,$3.35 B,$1.86,MY
30,Westports,$3.28 B,$0.96,MY
31,Genting Malaysia Berhad,$3.05 B,$0.54,MY
32,Dialog Group,$2.79 B,$0.50,MY
33,Hartalega,$2.46 B,$0.72,MY
34,Top Glove,$1.94 B,$0.24,MY
35,Heineken Malaysia,$1.64 B,$5.44,MY
36,Bank Islam Malaysia,$1.42 B,$0.63,MY
37,Kossan Rubber Industries,$1.26 B,$0.50,MY
38,Capital A (Air Asia),$0.95 B,$0.22,MY
39,MBM Resources,$0.55 B,$1.41,MY
40,Supermax Corporation Berhad,$0.50 B,$0.20,MY
41,Dutch Lady Milk Industries,$0.46 B,$7.19,MY
42,Hong Leong Capital,$0.25 B,$1.07,MY
43,Starbox Group,$63.13 M,$0.13,MY
44,CBL International,$27.77 M,$1.01,MY
45,VCI Global,$14.57 M,$0.09600,MY
146,Treasure Global,$6.74 M,$0.77,MY
147,BioNexus Gene Lab,$6.55 M,$0.36,MY
48,VIP Gloves,$1.57 M,$0.001999,MY
49,Agape ATP,$0.3 M,$0.07960,MY
