Rank,Name,Market Cap,Price,Country
1,Fomento Económico Mexicano,$172.16 B,$98.27,MX
12,Walmex,$52.06 B,$2.96,MX
13,America Movil,$51.70 B,$16.86,MX
4,Grupo México,$42.89 B,$5.51,MX
5,Banorte,$20.61 B,$7.22,MX
6,Coca-Cola FEMSA,$18.39 B,$86.23,MX
7,Arca Continental,$15.02 B,$8.85,MX
8,Grupo Bimbo,$14.01 B,$3.23,MX
9,Grupo Financiero Inbursa,$14.00 B,$2.30,MX
10,Grupo Carso,$13.67 B,$6.06,MX
11,Grupo Elektra,$13.20 B,$59.85,MX
12,Grupo Aeroportuario del Pacífico,$8.78 B,$174.40,MX
13,Cemex,$8.53 B,$5.88,MX
14,Grupo Aeroportuario del Sureste,$8.25 B,$279.14,MX
15,Fresnillo,$7.19 B,$9.77,MX
16,Gruma (Maseca),$6.45 B,$17.74,MX
17,Becle,$5.27 B,$1.47,MX
18,Kimberly-Clark de México,$4.68 B,$1.48,MX
19,Vista Oil & Gas,$4.60 B,$48.34,MX
20,Grupo Simec,$4.26 B,$27.10,MX
21,BBB Foods,$3.71 B,$33.12,MX
22,Grupo Aeroportuario Centro Norte,$3.24 B,$67.94,MX
23,Banco del Bajío,$2.71 B,$2.28,MX
24,Vesta Real Estate,$2.26 B,$25.87,MX
25,"Gentera, S.A.B. de C.V.",$1.97 B,$1.25,MX
26,Megacable Holdings,$1.78 B,$2.08,MX
27,Televisa,$1.26 B,$2.36,MX
28,Genomma Lab Internacional,$1.17 B,$1.24,MX
29,BMV (Bolsa Mexicana de Valores),$0.93 B,$1.67,MX
30,Volaris,$0.80 B,$7.02,MX
31,Betterware de Mexico,$0.46 B,$12.46,MX
