Rank,Name,Market Cap,Price,Country
1,ASML,$280.78 B,$714.10,NL
2,Prosus,$183.79 B,$42.06,NL
3,Airbus,$118.57 B,$150.21,NL
4,NXP Semiconductors,$58.62 B,$230.15,NL
5,ING,$54.12 B,$17.20,NL
16,Adyen,$47.66 B,"$1,534",NL
17,Heineken,$47.41 B,$83.87,NL
8,Universal Music Group,$47.19 B,$25.80,NL
9,Wolters Kluwer,$40.45 B,$171.81,NL
10,Stellantis,$37.04 B,$12.91,NL
11,Exor,$35.85 B,$105.92,NL
12,Argenx,$33.51 B,$560.45,NL
13,Ahold Delhaize,$30.72 B,$33.06,NL
14,Philips,$29.95 B,$32.14,NL
15,ASM International,$27.28 B,$556.96,NL
16,KPN,$15.95 B,$4.10,NL
17,ABN AMRO,$13.84 B,$16.62,NL
18,NN Group,$13.47 B,$50.01,NL
19,AkzoNobel,$11.69 B,$68.46,NL
320,JDE Peet's,$11.62 B,$23.87,NL
121,Euronext,$11.45 B,$110.79,NL
22,ASR Nederland,$10.28 B,$48.74,NL
223,AEGON,$10.27 B,$6.35,NL
124,IMCD,$9.45 B,$166.02,NL
125,Qiagen,$9.36 B,$42.12,NL
26,BE Semiconductor,$8.71 B,$109.65,NL
27,Randstad,$8.19 B,$46.68,NL
28,CTP N.V.,$8.00 B,$17.66,NL
29,Arcadis,$6.36 B,$70.59,NL
30,OCI,$5.78 B,$27.40,NL
31,Vopak,$5.46 B,$45.55,NL
32,Aalberts,$3.93 B,$35.59,NL
33,Merus,$3.51 B,$51.60,NL
34,Redcare Pharmacy,$3.06 B,$152.87,NL
35,Signify,$3.01 B,$23.87,NL
36,Just Eat Takeaway,$2.38 B,$11.58,NL
37,VEON,$2.18 B,$30.90,NL
38,Van Lanschot Kempen,$2.02 B,$47.93,NL
39,Basic-Fit,$1.71 B,$25.94,NL
40,NewAmsterdam Pharma Company,$1.71 B,$19.02,NL
41,TKH Group,$1.61 B,$40.59,NL
42,Corbion,$1.56 B,$26.92,NL
43,Eurocommercial Properties,$1.39 B,$26.18,NL
44,Pharvaris,$1.22 B,$22.64,NL
45,Core Laboratories,$0.87 B,$18.63,NL
46,TomTom,$0.67 B,$5.46,NL
47,Pharming Group,$0.60 B,$8.91,NL
48,PostNL,$0.58 B,$1.17,NL
49,Sligro Food,$0.57 B,$13.09,NL
50,Allego,$0.49 B,$1.82,NL
51,Brunel International,$0.48 B,$9.54,NL
52,Fastned,$0.46 B,$24.45,NL
53,ProQR,$0.33 B,$4.05,NL
154,uniQure,$0.32 B,$6.60,NL
155,Lucas Bols,$0.31 B,$19.47,NL
56,Alfen,$0.27 B,$12.82,NL
157,CM.com,$0.22 B,$7.78,NL
158,Hydratec Industries,$0.21 B,$163.37,NL
59,Kendrion,$0.19 B,$12.46,NL
60,Azerion Group,$0.18 B,$1.51,NL
61,Bever Holding,$60.9 M,$2.92,NL
162,Lava Therapeutics,$45.24 M,$1.72,NL
163,Ebusco Holding,$38.97 M,$0.61,NL
64,X5 Retail Group,N/A,$32.42,NL
65,Yandex,N/A,N/A,NL
