Rank,Name,Market Cap,Price,Country
1,Xero,$15.36 B,$100.60,NZ
2,Fisher & Paykel Healthcare,$13.09 B,$22.34,NZ
3,Meridian Energy,$9.54 B,$3.66,NZ
4,Auckland Airport,$7.64 B,$4.54,NZ
5,Infratil,$7.17 B,$7.42,NZ
6,Mercury NZ,$5.85 B,$4.06,NZ
7,Fonterra,$4.71 B,$2.44,NZ
8,Mainfreight,$4.36 B,$43.34,NZ
9,Ebos Group,$4.35 B,$22.40,NZ
10,Contact Energy,$4.14 B,$5.20,NZ
11,Spark New Zealand,$3.41 B,$1.82,NZ
12,The a2 Milk Company,$2.85 B,$3.94,NZ
13,Port of Tauranga,$2.45 B,$3.61,NZ
114,Vector Limited,$2.30 B,$2.31,NZ
115,Chorus,$2.28 B,$5.28,NZ
16,Fletcher Building,$2.01 B,$1.88,NZ
17,Ryman Healthcare,$2.01 B,$2.93,NZ
18,Goodman Property Trust,$2.00 B,$1.30,NZ
19,Summerset Holdings,$1.75 B,$7.42,NZ
20,Genesis Energy,$1.37 B,$1.26,NZ
21,Precinct Properties,$1.23 B,$0.78,NZ
22,Air New Zealand,$1.08 B,$0.32,NZ
23,Freightways,$1.07 B,$6.02,NZ
24,Kiwi Property,$0.94 B,$0.59,NZ
25,Vital Healthcare Property Trust,$0.81 B,$1.20,NZ
126,Gentrack Group,$0.68 B,$6.61,NZ
127,Property For Industry,$0.67 B,$1.35,NZ
28,Skycity Entertainment Group,$0.62 B,$0.82,NZ
29,Skellerup Holdings,$0.54 B,$2.80,NZ
30,Oceania Healthcare,$0.34 B,$0.48,NZ
31,Delegat,$0.33 B,$3.28,NZ
32,Restaurant Brands New Zealand,$0.27 B,$2.22,NZ
33,Serko Limited,$0.21 B,$1.78,NZ
34,KMD Brands,$0.20 B,$0.29,NZ
35,Synlait Milk,$0.12 B,$0.24,NZ
36,NZME Limited,$0.11 B,$0.64,NZ
37,Steel & Tube Holdings,$96.44 M,$0.57,NZ
