Rank,Name,Market Cap,Price,Country
1,PKO Bank Polski,$17.60 B,$14.08,PL
2,PKN Orlen,$15.62 B,$13.46,PL
3,Santander Polska,$11.73 B,$114.83,PL
4,Bank Pekao (Bank Polska Kasa Opieki),$9.56 B,$36.44,PL
5,Allegro.eu,$9.18 B,$8.69,PL
6,Powszechny Zakład Ubezpieczeń,$8.79 B,$10.18,PL
7,ING Bank Slaski,$8.71 B,$67.01,PL
8,Dino Polska,$8.19 B,$83.59,PL
9,KGHM Polska Miedź,$7.99 B,$39.97,PL
10,LPP SA,$7.35 B,"$3,963",PL
11,mBank,$6.38 B,$150.30,PL
12,Zabka Group,$5.26 B,$5.26,PL
13,CD Projekt,$3.91 B,$39.18,PL
14,PGE Polska,$3.84 B,$1.71,PL
15,Budimex,$3.70 B,$145.04,PL
16,CCC S.A.,$3.09 B,$44.96,PL
17,Bank Handlowy w Warszawie,$3.00 B,$23.00,PL
18,Orange Polska,$2.75 B,$2.10,PL
19,Bank Millennium,$2.49 B,$2.06,PL
20,KRUK Spólka Akcyjna,$2.08 B,$107.92,PL
21,Grupa Kety,$1.93 B,$199.02,PL
22,Benefit Systems,$1.88 B,$638.78,PL
23,Inter Cars,$1.88 B,$133.27,PL
24,Cyfrowy Polsat,$1.69 B,$3.07,PL
25,Asseco,$1.52 B,$22.41,PL
26,Tauron Polska,$1.49 B,$0.85,PL
27,Polenergia,$1.48 B,$19.29,PL
28,Enea,$1.45 B,$2.76,PL
29,Dom Development,$1.26 B,$48.90,PL
30,Grupa Pracuj,$0.95 B,$13.95,PL
31,NEUCA,$0.94 B,$211.67,PL
32,Jastrzebska Spólka Weglowa,$0.78 B,$6.66,PL
33,Auto Partner,$0.73 B,$5.65,PL
34,Develia,$0.66 B,$1.48,PL
35,Comarch,$0.66 B,$81.66,PL
36,Globe Trade Centre,$0.61 B,$1.08,PL
37,Wirtualna Polska (WP Holding),$0.61 B,$20.67,PL
38,Atal S.A.,$0.56 B,$13.18,PL
39,Archicom,$0.48 B,$8.27,PL
40,Asseco Business Solutions,$0.45 B,$13.68,PL
41,PlayWay,$0.45 B,$69.14,PL
142,Newag,$0.41 B,$9.24,PL
143,Celon Pharma,$0.40 B,$7.49,PL
44,PCC Rokita,$0.40 B,$20.32,PL
45,Murapol S.A.,$0.39 B,$9.72,PL
46,Synektik Spólka Akcyjna,$0.39 B,$45.84,PL
47,Text (LiveChat),$0.38 B,$15.13,PL
48,MCI Capital Alternatywna Spólka Inwestycyjna,$0.35 B,$6.74,PL
49,Sygnity,$0.33 B,$14.83,PL
150,Arctic Paper,$0.32 B,$4.64,PL
151,Eurocash,$0.32 B,$2.30,PL
252,Shoper,$0.31 B,$11.27,PL
53,Stalprodukt,$0.31 B,$57.74,PL
54,Mirbud S.A.,$0.31 B,$2.82,PL
55,Gielda Papierów Wartosciowych w Warszawie,$0.29 B,$11.00,PL
56,Unimot,$0.29 B,$36.17,PL
57,Grenevia,$0.29 B,$0.51,PL
58,Selvita,$0.27 B,$15.23,PL
59,Bank Ochrony Srodowiska,$0.26 B,$2.91,PL
160,Enter Air,$0.26 B,$15.18,PL
161,Mo-BRUK S.A.,$0.26 B,$76.15,PL
62,Gobarto,$0.24 B,$8.79,PL
63,ZE PAK SA,$0.21 B,$4.18,PL
64,Wawel,$0.19 B,$151.30,PL
65,Lubelski Wegiel Bogdanka,$0.19 B,$5.59,PL
66,Pkp Cargo,$0.18 B,$4.18,PL
67,Ambra,$0.16 B,$6.71,PL
68,Columbus Energy,$0.15 B,$2.31,PL
169,11 bit studios,$0.15 B,$64.88,PL
170,Ten Square Games,$0.15 B,$21.22,PL
71,TOYA S.A.,$0.14 B,$1.97,PL
72,Lubawa,$0.13 B,$0.92,PL
173,BEST S.A.,$0.13 B,$5.91,PL
174,Sanok Rubber Company,$0.12 B,$5.06,PL
175,Pekabex,$0.12 B,$4.95,PL
176,Bloober Team,$0.11 B,$5.80,PL
177,PCC Exol,$0.11 B,$0.68,PL
178,Answear.com,$0.11 B,$6.20,PL
179,Quercus TFI,$0.10 B,$2.02,PL
180,People Can Fly,$0.10 B,$2.86,PL
181,VIGO Photonics,$97.73 M,$111.72,PL
182,Erbud,$95.62 M,$8.02,PL
83,Wielton,$93.76 M,$1.55,PL
84,Mercor,$92.68 M,$6.09,PL
85,Lokum Deweloper,$87.47 M,$4.86,PL
86,OEX S.A.,$85.29 M,$13.43,PL
87,Cavatina Holding Spólka Akcyjna,$77.7 M,$3.06,PL
88,Captor Therapeutics,$77.09 M,$16.53,PL
189,Synthaverse,$75.6 M,$1.07,PL
190,Creotech Instruments,$74.5 M,$31.31,PL
91,CI Games,$73.43 M,$0.39,PL
92,Unibep,$69.39 M,$2.11,PL
93,Creepy Jar,$65.69 M,$93.94,PL
94,OT Logistics,$61.09 M,$4.66,PL
95,Dadelo,$60.82 M,$5.21,PL
96,Artifex Mundi,$55.27 M,$4.65,PL
197,BoomBit,$34.07 M,$2.50,PL
198,Grupa Kapitałowa Immobile,$33.88 M,$0.45,PL
99,Forever Entertainment,$26.12 M,$0.85,PL
100,Games Operators,$24.86 M,$4.52,PL
