Rank,Name,Market Cap,Price,Country
1,Sberbank,$57.89 B,$2.65,RU
2,Rosneft,$53.32 B,$5.03,RU
3,Lukoil,$50.35 B,$71.98,RU
4,Gazprom,$33.38 B,$1.41,RU
5,Novatek,$30.17 B,$9.93,RU
6,Polyus,$20.22 B,$141.27,RU
7,Nornickel,$16.74 B,$1.08,RU
8,Tatneft,$13.38 B,$6.14,RU
9,Severstal,$10.34 B,$12.28,RU
10,Surgutneftegas,$9.26 B,$0.26,RU
11,Novolipetsk Steel,$8.13 B,$1.36,RU
12,PhosAgro,$7.29 B,$55.87,RU
13,Magnit,$5.09 B,$50.39,RU
14,Mobile TeleSystems,$4.23 B,$2.11,RU
15,Mechel PAO,$1.20 B,$2.25,RU
16,United Heavy Machinery,$0.38 B,$141.72,RU
17,Rosseti,N/A,N/A,RU
