Rank,Name,Market Cap,Price,Country
1,Saudi Aramco,$1.746 T,$7.22,SA
12,Al Rajhi Bank,$90.61 B,$22.65,SA
13,ACWA POWER Company,$87.93 B,$117.86,SA
4,SABIC,$58.44 B,$19.48,SA
5,Saudi Telecom Company,$56.48 B,$11.31,SA
6,The Saudi National Bank,$55.69 B,$9.30,SA
7,Maaden,$52.73 B,$14.29,SA
8,Dr. Sulaiman Al Habib Medical Services Group Company,$27.22 B,$77.77,SA
9,Elm Company,$21.96 B,$274.52,SA
10,Riyad Bank,$19.90 B,$6.62,SA
11,Alinma Bank,$19.46 B,$7.78,SA
12,The Saudi British Bank,$19.22 B,$9.30,SA
13,Saudi Electricity,$18.10 B,$4.34,SA
14,Almarai,$15.28 B,$15.33,SA
15,Saudi Arabian Fertilizer Company,$14.97 B,$31.45,SA
16,Bank Albilad,$12.06 B,$9.65,SA
17,Kingdom Holding,$10.72 B,$2.83,SA
18,Etihad Etisalat (Mobily),$10.44 B,$13.51,SA
119,Banque Saudi Fransi,$10.10 B,$8.37,SA
120,Arab National Bank,$10.07 B,$5.01,SA
21,Arabian Internet and Communications Services,$8.58 B,$72.12,SA
22,Bupa Arabia for Cooperative Insurance Company,$8.39 B,$55.49,SA
23,Savola Group,$8.22 B,$7.28,SA
24,Saudi Tadawul Group Holding Company,$7.80 B,$64.82,SA
25,Jabal Omar Development,$7.07 B,$6.13,SA
26,Saudi Research and Media Group,$6.40 B,$79.96,SA
27,Yanbu National Petrochemical,$6.23 B,$10.94,SA
28,SAL Saudi Logistics Services,$5.95 B,$74.47,SA
129,ADES Holding Company,$5.87 B,$5.35,SA
130,The Company for Cooperative Insurance,$5.79 B,$38.65,SA
31,Luberef (Saudi Aramco Base Oil Company),$5.45 B,$32.09,SA
32,Saudi International Petrochemical Company (Sipchem),$5.39 B,$7.33,SA
33,Mouwasat Medical Services Company,$5.28 B,$26.15,SA
34,Makkah Construction & Development,$5.28 B,$32.04,SA
35,Al Rajhi Company for Cooperative Insurance,$4.84 B,$48.24,SA
36,Nahdi Medical Company,$4.52 B,$34.65,SA
137,Bank AlJazira,$4.49 B,$4.39,SA
138,Dar Al Arkan Real Estate Development Company,$4.41 B,$3.99,SA
39,Saudi Investment Bank,$4.41 B,$3.51,SA
40,Jarir,$4.26 B,$3.56,SA
41,Dallah Healthcare,$4.20 B,$42.75,SA
42,Riyadh Cables Group Company,$4.16 B,$27.45,SA
43,MBC Group Co.,$3.91 B,$11.46,SA
244,Aldrees Petroleum and Transport Services,$3.83 B,$38.38,SA
145,Petro Rabigh,$3.79 B,$2.22,SA
246,Astra Industrial Group Company,$3.74 B,$46.86,SA
247,National Shipping Company of Saudi Arabia (Bahri),$3.70 B,$7.53,SA
148,MARAFIQ (The Power and Water Utility Company for Jubail and Yanbu),$3.66 B,$14.58,SA
49,Saudi Industrial Investment Group,$3.65 B,$4.85,SA
50,Dr. Soliman Abdel Kader Fakeeh,$3.65 B,$15.86,SA
51,Taiba Investments,$3.27 B,$12.54,SA
52,Saudi Kayan Petrochemical Company,$3.23 B,$2.12,SA
53,Saudia Dairy & Foodstuff Company,$3.22 B,$100.80,SA
54,Jamjoom Pharmaceuticals Factory Company,$3.14 B,$44.56,SA
155,Abdullah Al-Othaim Markets Company,$2.88 B,$3.17,SA
156,Leejam Sports Company,$2.85 B,$54.16,SA
57,Emaar The Economic City,$2.70 B,$2.37,SA
658,Arabian Drilling Company,$2.63 B,$29.64,SA
159,Saudi Chemical Holding Company,$2.63 B,$3.12,SA
160,Zain Saudi Arabia,$2.62 B,$2.88,SA
61,National Company for Learning and Education,$2.60 B,$60.50,SA
262,Cenomi Centers (Arabian Centres Company),$2.56 B,$5.39,SA
63,Saudi Ground Services Company,$2.55 B,$13.59,SA
264,Arabian Contracting Services Company,$2.52 B,$49.84,SA
65,Advanced Petrochemical,$2.51 B,$9.67,SA
66,CATRION Catering Holding Company,$2.42 B,$29.58,SA
67,Saudi Real Estate Company (Al Akaria),$2.40 B,$6.30,SA
68,Electrical Industries Company (EIC),$2.23 B,$2.01,SA
269,BinDawood,$2.21 B,$1.93,SA
70,The National Agricultural Development Company,$2.21 B,$7.28,SA
271,National Medical Care Company,$2.19 B,$49.04,SA
72,Gasco (National Gas and Industrialization Company),$2.13 B,$28.25,SA
73,Al-Dawaa Medical Services Company,$2.08 B,$24.55,SA
74,Retal Urban Development Company,$1.98 B,$3.97,SA
75,United Electronics Company (eXtra Saudi),$1.97 B,$25.67,SA
76,National Industrialization Company (Saudi Arabia),$1.91 B,$2.83,SA
77,Almunajem Foods Company,$1.81 B,$30.12,SA
178,Middle East Healthcare Company,$1.79 B,$19.46,SA
179,Budget Saudi (United International Transportation Company),$1.78 B,$22.60,SA
180,Al Masane Al Kobra Mining Company,$1.75 B,$19.27,SA
181,Al Hammadi Holding Company,$1.74 B,$10.78,SA
82,Yamama Saudi Cement Company,$1.68 B,$8.18,SA
83,Saudi Cement Company,$1.63 B,$10.69,SA
84,Seera Holding Group,$1.62 B,$6.04,SA
85,Alkhorayef Water and Power Technologies Company,$1.54 B,$43.18,SA
86,Saudi Automotive Services Company,$1.50 B,$21.16,SA
87,Al Moammar Information Systems,$1.48 B,$48.83,SA
188,Jahez International Company for Information Systems Technology,$1.46 B,$7.14,SA
189,Future Care Trading Company,$1.44 B,$2.89,SA
190,Arriyadh Development Company,$1.38 B,$7.80,SA
191,East Pipes Integrated Company for Industry,$1.38 B,$43.98,SA
92,Knowledge Economic City Company,$1.32 B,$3.88,SA
93,Rasan Information Technology Company,$1.27 B,$16.84,SA
94,Southern Province Cement Company,$1.25 B,$8.89,SA
95,Perfect Presentation for Commercial Services CompanyPerfect Presentation for Commercial Services,$1.18 B,$3.89,SA
96,Miahona Company,$1.14 B,$7.08,SA
97,Lumi Rental Company,$1.13 B,$20.66,SA
98,Al Majed for Oud Company,$1.08 B,$42.64,SA
99,SPIMACO (Saudi Pharmaceutical Industries and Medical Appliances Corporation),$1.01 B,$8.48,SA
100,First Milling Company,$0.99 B,$17.80,SA
