Rank,Name,Market Cap,Price,Country
1,DBS Group,$84.61 B,$29.75,SG
2,Sea (Garena),$56.91 B,$99.09,SG
3,OCBC Bank,$52.22 B,$11.61,SG
14,UOB,$41.26 B,$24.68,SG
15,Singtel,$40.39 B,$2.45,SG
16,Grab Holdings,$15.96 B,$4.03,SG
17,Wilmar International,$15.74 B,$2.52,SG
8,Singapore Airlines,$14.68 B,$4.94,SG
9,Flex,$13.65 B,$34.39,SG
10,CapitaLand Mall Trust,$11.62 B,$1.60,SG
111,CapitaLand Investment Limited,$11.30 B,$2.26,SG
112,ST Engineering,$11.15 B,$3.58,SG
13,Singapore Exchange,$9.59 B,$8.96,SG
14,Ascendas Reit,$9.31 B,$2.12,SG
15,Great Eastern,$9.09 B,$19.21,SG
16,Keppel,$8.85 B,$4.90,SG
17,Jardine Cycle & Carriage,$8.18 B,$20.71,SG
18,Genting Singapore,$7.79 B,$0.65,SG
19,Sembcorp,$7.47 B,$4.19,SG
20,Mapletree Commercial Trust,$5.75 B,$1.09,SG
21,BOC Aviation,$5.57 B,$8.03,SG
22,Mapletree Logistics Trust,$5.44 B,$1.08,SG
23,Mapletree Industrial Trust,$5.29 B,$1.86,SG
24,Seatrium,$5.09 B,$1.50,SG
25,SATS,$4.25 B,$2.85,SG
126,City Developments,$3.61 B,$4.05,SG
127,UOL Group,$3.54 B,$4.19,SG
128,Frasers Logistics & Industrial Trust,$3.19 B,$0.85,SG
129,Olam,$3.16 B,$0.84,SG
30,Venture Corporation,$3.04 B,$10.48,SG
31,Suntec REIT,$2.85 B,$0.98,SG
132,Golden Agri-Resources,$2.79 B,$0.22,SG
133,Keppel REIT,$2.73 B,$0.71,SG
234,CapitaLand Ascott Trust,$2.73 B,$0.72,SG
35,NetLink Trust,$2.67 B,$0.69,SG
136,ComfortDelGro,$2.40 B,$1.11,SG
137,Kulicke and Soffa Industries,$2.39 B,$43.85,SG
38,Wave Life Sciences,$2.29 B,$15.11,SG
39,SIA Engineering Company,$2.04 B,$1.82,SG
140,Paragon REIT,$1.97 B,$0.70,SG
141,Singapore Land,$1.95 B,$1.37,SG
42,Haw Par,$1.83 B,$8.30,SG
43,Sheng Siong Group,$1.81 B,$1.21,SG
44,iFAST Corporation,$1.76 B,$5.92,SG
245,Kenon Holdings,$1.45 B,$27.50,SG
46,Hotel Properties Limited,$1.44 B,$2.74,SG
147,HPH Trust (Hutchison Port),$1.41 B,$0.16,SG
348,Bitdeer Technologies Group,$1.39 B,$8.32,SG
49,Karooooo,$1.21 B,$39.25,SG
50,PropertyGuru,$1.08 B,$6.63,SG
51,Riverstone Holdings,$1.04 B,$0.70,SG
252,Sinarmas Land,$0.98 B,$0.23,SG
53,Yanlord,$0.96 B,$0.50,SG
254,Super Hi International,$0.95 B,$1.62,SG
55,Singapore Post,$0.94 B,$0.42,SG
56,BitFuFu,$0.72 B,$4.44,SG
57,Pacific Century Regional Developments,$0.66 B,$0.25,SG
58,IGG Inc,$0.59 B,$0.52,SG
159,Grindrod Shipping,$0.27 B,$14.20,SG
160,Mobile-health Network Solutions,$0.27 B,$0.48,SG
61,EUDA Health,$0.14 B,$4.25,SG
162,MoneyHero,$45.05 M,$1.10,SG
163,LightInTheBox Holding,$44.85 M,$2.44,SG
64,Primech Holdings,$29.29 M,$0.77,SG
65,Davis Commodities,$26.46 M,$1.08,SG
66,CytoMed Therapeutics,$25.61 M,$2.22,SG
67,ryde,$17.61 M,$0.67,SG
68,Genius Group,$15.4 M,$0.71,SG
69,Guardforce AI,$14.35 M,$1.21,SG
70,Webuy Global,$11.24 M,$0.13,SG
71,Ohmyhome,$8.99 M,$0.39,SG
72,CMON,$7.52 M,$0.003473,SG
73,SIMPPLE,$5.69 M,$0.35,SG
74,Society Pass,$3.45 M,$1.10,SG
75,ASLAN Pharmaceuticals,$1.69 M,$0.60,SG
76,Maxeon Solar Technologies,$1 M,$0.07110,SG
77,Triterras,$0.06 M,$0.0008000,SG
