Rank,Name,Market Cap,Price,Country
1,Naspers,$41.76 B,$47.01,ZA
2,FirstRand,$26.45 B,$4.72,ZA
3,Standard Bank Group,$22.70 B,$13.74,ZA
4,Capitec Bank,$21.49 B,$185.58,ZA
5,Gold Fields,$16.40 B,$18.33,ZA
6,AngloGold Ashanti,$12.89 B,$30.67,ZA
7,Vodacom,$12.12 B,$6.26,ZA
8,Sanlam,$10.58 B,$5.14,ZA
9,MTN Group,$9.35 B,$5.18,ZA
10,Shoprite,$8.84 B,$16.26,ZA
11,Bid Corp,$8.48 B,$25.31,ZA
12,Nedbank,$7.97 B,$17.09,ZA
13,Harmony Gold,$7.61 B,$12.04,ZA
14,Discovery Limited,$6.68 B,$10.10,ZA
15,Impala Platinum,$5.75 B,$6.40,ZA
16,The Bidvest Group,$5.55 B,$16.36,ZA
17,Clicks Group,$5.15 B,$21.65,ZA
18,Remgro Limited,$5.00 B,$9.02,ZA
19,Pepkor,$4.94 B,$1.34,ZA
20,Aspen Pharmacare,$4.62 B,$10.40,ZA
21,Sasol,$4.05 B,$6.45,ZA
22,Mr Price Group,$3.82 B,$14.88,ZA
23,Old Mutual,$3.18 B,$0.73,ZA
24,Sibanye-Stillwater,$3.17 B,$4.49,ZA
25,The Foschini Group,$2.80 B,$8.64,ZA
26,MultiChoice Group,$2.72 B,$6.40,ZA
27,Rand Merchant Investment,$2.63 B,$1.69,ZA
28,Growthpoint Properties,$2.56 B,$0.76,ZA
29,Santam,$2.33 B,$21.36,ZA
30,Exxaro Resources,$2.31 B,$9.59,ZA
31,Momentum Metropolitan,$2.28 B,$1.65,ZA
32,Tiger Brands,$2.14 B,$13.77,ZA
33,Ninety One Group,$2.08 B,$2.34,ZA
34,African Rainbow Minerals,$2.00 B,$10.25,ZA
35,AVI Limited,$1.98 B,$5.99,ZA
36,Redefine Properties,$1.90 B,$0.28,ZA
37,Dis-Chem Pharmacies,$1.82 B,$2.13,ZA
38,Sappi,$1.70 B,$2.83,ZA
139,Life Healthcare Group,$1.40 B,$0.98,ZA
140,Fortress REIT,$1.38 B,$1.15,ZA
41,Pick n Pay Stores,$1.09 B,$1.50,ZA
42,DRDGOLD,$1.05 B,$12.28,ZA
43,Barloworld,$0.90 B,$4.84,ZA
44,Italtile,$0.87 B,$0.73,ZA
45,Telkom SA,$0.75 B,$1.54,ZA
46,Lesaka Technologies,$0.40 B,$5.09,ZA
47,Absa Bank,$0.21 B,$48.15,ZA
48,Transaction Capital,$0.13 B,$0.17,ZA
49,Afristrat Investment,$3.3 M,$0.006670,ZA
