Rank,Name,Market Cap,Price,Country
1,Samsung,$285.87 B,$42.86,KR
2,SK Hynix,$95.27 B,$138.36,KR
3,LG Energy Solution,$66.05 B,$282.30,KR
4,Samsung Biologics,$56.27 B,$790.72,KR
5,Coupang,$44.93 B,$25.05,KR
6,Hyundai,$42.45 B,$62.05,KR
7,Celltrion,$28.77 B,$138.94,KR
8,Kia,$27.00 B,$68.85,KR
9,KB Financial Group,$25.48 B,$67.11,KR
10,Shinhan Financial Group,$20.38 B,$40.42,KR
11,Naver,$19.38 B,$128.14,KR
12,POSCO,$18.85 B,$62.04,KR
13,LG Chem,$18.04 B,$239.54,KR
14,Samsung SDI,$16.02 B,$154.01,KR
15,Hyundai Mobis,$16.00 B,$176.84,KR
16,Alteogen,$15.30 B,$288.10,KR
17,Hana Financial Group,$13.45 B,$47.04,KR
18,Samsung Life Insurance,$13.24 B,$73.78,KR
19,POSCO Chemical,$13.10 B,$169.23,KR
320,Korea Zinc,$12.84 B,$635.62,KR
121,Hanwha Aerospace,$12.78 B,$276.50,KR
122,Kakao,$12.52 B,$28.56,KR
123,LG Electronics,$12.08 B,$70.45,KR
24,Ecopro BM,$11.67 B,$119.51,KR
25,Krafton,$11.29 B,$248.60,KR
26,Korea Electric Power,$9.79 B,$7.63,KR
27,Doosan Enerbility,$9.58 B,$14.97,KR
28,HMM,$9.47 B,$12.65,KR
29,Woori Financial Group,$8.81 B,$35.61,KR
30,SK Telecom,$8.72 B,$22.75,KR
31,LG Corp,$8.61 B,$56.39,KR
232,Yuhan,$8.55 B,$115.96,KR
133,KT&G (Korea Tobacco),$8.45 B,$77.26,KR
134,Industrial Bank of Korea (IBK),$8.38 B,$10.49,KR
35,KakaoBank,$7.82 B,$16.27,KR
36,SK Innovation,$7.80 B,$57.26,KR
37,KT Corporation,$7.67 B,$15.62,KR
38,Ecopro,$7.67 B,$58.27,KR
39,DSME (Daewoo Shipbuilding),$6.88 B,$22.47,KR
40,Samsung Electro-Mechanics,$6.60 B,$44.28,KR
41,Hyundai Glovis,$6.58 B,$87.84,KR
42,Korean Air Lines,$6.19 B,$16.96,KR
143,HYBE,$5.84 B,$140.82,KR
144,SK Group,$5.77 B,$106.18,KR
45,Amorepacific,$5.56 B,$91.68,KR
46,S-OIL,$4.91 B,$42.47,KR
47,LG Household & Health Care,$3.93 B,$109.88,KR
148,Korea Aerospace Industries,$3.93 B,$40.37,KR
149,LG Display,$3.76 B,$3.77,KR
150,Netmarble,$3.53 B,$43.12,KR
151,Coway,$3.50 B,$48.78,KR
52,Hankook Tire,$3.32 B,$27.25,KR
53,Doosan Bobcat,$3.15 B,$31.56,KR
54,Samyang Foods,$2.97 B,$399.35,KR
155,NCsoft,$2.87 B,$145.32,KR
156,ORION,$2.86 B,$72.11,KR
57,LOTTE Chemical,$2.81 B,$66.82,KR
58,Hanwha Solutions,$2.62 B,$15.47,KR
59,Korea Gas,$2.58 B,$29.61,KR
360,Kakao Pay,$2.53 B,$18.84,KR
161,SHIFT UP,$2.48 B,$42.62,KR
162,Kangwon Land,$2.47 B,$12.12,KR
163,Kumho Petrochemical,$2.45 B,$99.00,KR
64,Doosan,$2.30 B,$150.03,KR
65,CJ Group,$2.14 B,$77.77,KR
66,LEENO Industrial,$2.05 B,$135.17,KR
67,Hanmi Pharmaceutical,$1.78 B,$25.73,KR
68,Fila,$1.76 B,$29.24,KR
69,F&F Co,$1.68 B,$44.07,KR
170,Pearl Abyss,$1.67 B,$27.25,KR
171,Nongshim,$1.64 B,$270.34,KR
72,KCC Corp,$1.47 B,$193.15,KR
73,BGF Retail,$1.41 B,$82.12,KR
74,Pan Ocean,$1.39 B,$2.57,KR
75,LOTTE Corporation,$1.24 B,$17.32,KR
76,JYP Entertainment,$1.21 B,$36.82,KR
77,SM Entertainment,$1.12 B,$49.28,KR
78,Hansol Chemical,$1.06 B,$93.57,KR
379,Kakao Games,$1.03 B,$12.64,KR
180,Ottogi,$1.01 B,$294.26,KR
181,HiteJinro,$1.00 B,$14.57,KR
182,Shinsegae,$0.98 B,$105.53,KR
83,Doosan Fuel Cell,$0.84 B,$12.84,KR
184,Wemade,$0.83 B,$24.86,KR
185,SD BioSensor,$0.82 B,$6.67,KR
86,DoubleUGames,$0.73 B,$36.82,KR
87,KG Mobility (SsangYong Motor),$0.72 B,$3.71,KR
88,Nat Games (Nexon Games),$0.69 B,$10.93,KR
89,Asiana Airlines,$0.53 B,$7.25,KR
90,Jeju Air,$0.52 B,$6.56,KR
91,YG Entertainment,$0.51 B,$27.65,KR
92,Koh Young Technology,$0.47 B,$7.25,KR
93,Gravity Co.,$0.45 B,$65.44,KR
94,T’way Air,$0.45 B,$2.09,KR
95,Shinpoong Pharm,$0.42 B,$8.57,KR
96,Jin Air,$0.40 B,$7.76,KR
97,NHN Corp,$0.38 B,$11.78,KR
98,Webzen,$0.35 B,$12.11,KR
99,Com2uS,$0.31 B,$27.83,KR
100,Neowiz Games,$0.30 B,$14.86,KR
