Rank,Name,Market Cap,Price,Country
1,Inditex,$182.67 B,$29.34,ES
2,Iberdrola,$96.70 B,$15.20,ES
3,Santander,$77.26 B,$5.03,ES
4,Banco Bilbao Vizcaya Argentaria,$56.65 B,$9.83,ES
5,CaixaBank,$42.23 B,$5.87,ES
6,Aena,$32.94 B,$219.63,ES
7,Amadeus IT Group,$31.72 B,$72.81,ES
8,Ferrovial,$29.77 B,$41.42,ES
9,Cellnex Telecom,$27.02 B,$38.31,ES
10,Telefónica,$26.79 B,$4.72,ES
11,Naturgy,$24.26 B,$25.25,ES
12,Endesa,$22.52 B,$21.28,ES
13,EDP Renováveis,$15.34 B,$14.76,ES
14,Repsol,$14.78 B,$12.78,ES
15,International Consolidated Airlines,$13.04 B,$2.61,ES
16,Grupo ACS,$11.74 B,$47.63,ES
17,Puig Brands,$11.38 B,$20.20,ES
18,Banco Sabadell,$10.67 B,$1.99,ES
19,Red Eléctrica,$9.98 B,$18.50,ES
20,Mapfre,$8.25 B,$2.69,ES
121,Acciona,$7.28 B,$133.83,ES
122,Bankinter,$7.24 B,$8.06,ES
23,Acciona Energías Renovables,$7.16 B,$22.09,ES
24,Grifols,$6.70 B,$8.57,ES
25,Merlin Properties,$6.48 B,$11.53,ES
26,Fomento de Construcciones y Contratas,$5.90 B,$12.98,ES
27,Grupo Catalana Occidente,$4.83 B,$40.95,ES
28,Fluidra,$4.57 B,$24.10,ES
29,Laboratorios Farmaceuticos Rovi,$4.26 B,$83.31,ES
30,Inmobiliaria Colonial,$3.94 B,$6.37,ES
31,Logista (Compañía de Distribución Integral Logista),$3.93 B,$29.80,ES
32,Enagás,$3.78 B,$14.49,ES
133,CIE Automotive,$3.38 B,$28.29,ES
134,Corporación Financiera Alba,$3.30 B,$54.74,ES
35,Vidrala,$3.28 B,$102.89,ES
36,Indra Sistemas,$3.10 B,$17.94,ES
37,Unicaja Banco,$3.01 B,$1.17,ES
38,Viscofan,$2.95 B,$64.59,ES
139,Ebro Foods,$2.65 B,$17.27,ES
140,Sacyr,$2.55 B,$3.37,ES
41,Acerinox,$2.41 B,$9.70,ES
142,Almirall,$2.12 B,$9.95,ES
143,NH Hotel Group,$2.06 B,$4.75,ES
144,Elecnor,$1.77 B,$20.97,ES
145,Applus Services,$1.77 B,$13.72,ES
46,Gestamp Automoción,$1.69 B,$2.98,ES
47,Meliá Hotels International,$1.60 B,$7.30,ES
48,Solaria Energía,$1.41 B,$11.34,ES
49,Proeduca Altus,$1.40 B,$31.16,ES
50,Metrovacesa,$1.39 B,$9.20,ES
51,Construcciones y Auxiliar de Ferrocarriles,$1.38 B,$40.46,ES
52,Pharma Mar,$1.31 B,$75.52,ES
53,Aedas Homes,$1.22 B,$28.35,ES
54,Faes Farma,$1.21 B,$3.91,ES
55,Neinor Homes,$1.21 B,$16.27,ES
56,AmRest,$1.20 B,$5.54,ES
157,Prosegur,$1.10 B,$2.07,ES
158,Grenergy Renovables,$1.06 B,$37.16,ES
59,Mediaset España Comunicación,$0.98 B,$3.16,ES
60,Técnicas Reunidas,$0.97 B,$12.44,ES
61,Prosegur Cash,$0.92 B,$0.63,ES
62,Audax Renovables,$0.89 B,$1.98,ES
63,Montepino Logística,$0.88 B,$10.28,ES
64,Realia Business,$0.85 B,$1.05,ES
65,eDreams ODIGEO,$0.83 B,$6.74,ES
66,(DIA) Distribuidora Internacional de Alimentación,$0.80 B,$0.01385,ES
67,ENCE Energía y Celulosa,$0.74 B,$3.07,ES
168,Miquel y Costas & Miquel,$0.51 B,$13.52,ES
169,Talgo S.A.,$0.50 B,$4.10,ES
270,Renta 4 Banco,$0.50 B,$12.33,ES
71,Global Dominion Access,$0.47 B,$3.17,ES
72,Ercros,$0.36 B,$4.00,ES
73,Alantra Partners,$0.33 B,$8.81,ES
74,Grupo Empresarial San José,$0.33 B,$5.14,ES
75,Atrys Health,$0.27 B,$3.64,ES
76,Laboratorio Reig Jofre,$0.27 B,$3.42,ES
77,Ecoener,$0.26 B,$4.71,ES
78,Wallbox,$0.24 B,$0.98,ES
79,Árima Real Estate,$0.23 B,$9.24,ES
80,Olimpo Real Estate,$0.22 B,$1.13,ES
81,Iberpapel Gestión,$0.21 B,$20.12,ES
82,"Prim, S.A.",$0.18 B,$10.67,ES
83,Inmobiliaria del Sur,$0.17 B,$9.41,ES
84,Urbas Grupo Financiero,$0.16 B,$0.003678,ES
85,SNGULAR,$0.15 B,$3.01,ES
86,Soltec Power Holdings,$0.15 B,$1.73,ES
87,Vitruvio Real Estate,$0.14 B,$15.36,ES
88,Squirrel Media,$0.14 B,$1.55,ES
189,Nueva Expresión Textil,$0.12 B,$0.36,ES
190,Oryzon Genomics,$0.12 B,$1.91,ES
91,Umbrella Solar Investment,$0.11 B,$5.45,ES
192,Gigas Hosting,$0.10 B,$9.36,ES
193,Naturhouse Health,$0.10 B,$1.81,ES
94,Tubos Reunidos,$0.10 B,$0.60,ES
195,Llorente & Cuenca,$97.59 M,$8.38,ES
196,Duro Felguera,$96.61 M,$0.45,ES
97,Vocento,$90.42 M,$0.75,ES
98,Agile Content,$86.72 M,$3.79,ES
99,Turbo Energy,$17.95 M,$1.63,ES
