Rank,Name,Market Cap,Price,Country
1,Investor AB,$89.45 B,$29.21,SE
2,Atlas Copco,$81.20 B,$15.37,SE
3,Spotify,$76.70 B,$381.97,SE
4,Volvo Group,$52.66 B,$25.99,SE
5,EQT,$36.06 B,$30.55,SE
6,Assa Abloy,$35.56 B,$32.02,SE
7,Skandinaviska Enskilda Banken,$29.93 B,$14.60,SE
8,Ericsson,$27.98 B,$8.46,SE
9,H&M,$26.64 B,$16.56,SE
10,Hexagon AB,$25.87 B,$9.64,SE
11,Sandvik,$25.32 B,$20.19,SE
12,Epiroc,$23.01 B,$19.73,SE
13,Swedbank,$21.95 B,$19.51,SE
14,Essity,$20.55 B,$29.46,SE
15,Svenska Handelsbanken,$19.45 B,$9.78,SE
16,Evolution Gaming,$18.58 B,$89.61,SE
17,Alfa Laval,$18.55 B,$44.90,SE
18,Investment AB Latour,$18.15 B,$28.39,SE
19,Industrivarden,$14.82 B,$34.41,SE
20,Lifco,$14.18 B,$31.22,SE
21,Lundbergföretagen,$12.78 B,$51.54,SE
22,Telia Company,$11.88 B,$3.02,SE
23,SAAB AB,$11.11 B,$20.84,SE
24,Akelius Residential Property,$10.77 B,$1.78,SE
25,Indutrade,$10.38 B,$28.51,SE
26,Swedish Orphan Biovitrum,$10.34 B,$30.12,SE
27,NIBE Industrier,$9.74 B,$4.83,SE
28,Svenska Cellulosa Aktiebolaget (SCA),$9.28 B,$13.22,SE
29,Fastighets AB Balder,$9.00 B,$7.68,SE
30,Sagax,$8.87 B,$25.12,SE
131,Boliden,$8.68 B,$31.76,SE
132,SKF (Svenska Kullagerfabriken),$8.52 B,$18.72,SE
33,Skanska,$8.44 B,$20.56,SE
34,AAK,$8.23 B,$31.72,SE
35,Trelleborg AB,$8.14 B,$34.58,SE
36,Beijer Ref,$7.90 B,$15.59,SE
37,Autoliv,$7.62 B,$96.80,SE
38,Addtech AB,$7.58 B,$28.10,SE
39,Tele2,$7.36 B,$10.61,SE
40,Securitas AB,$7.11 B,$12.41,SE
41,Volvo Car,$6.62 B,$2.23,SE
42,Castellum,$6.39 B,$12.98,SE
43,Holmen,$6.35 B,$40.01,SE
44,Sweco,$5.81 B,$16.06,SE
45,Axfood,$5.64 B,$26.13,SE
46,Nordnet AB,$5.34 B,$21.30,SE
47,Getinge,$5.00 B,$18.38,SE
48,SSAB,$4.56 B,$4.55,SE
49,Pandox AB,$3.75 B,$19.28,SE
50,Husqvarna,$3.63 B,$6.37,SE
51,Embracer Group,$3.62 B,$2.69,SE
52,Mycronic,$3.54 B,$36.34,SE
153,Fortnox AB,$3.43 B,$5.64,SE
154,Avanza Bank,$3.36 B,$21.42,SE
155,HEXPOL AB,$3.36 B,$9.76,SE
356,Munters Group AB,$3.35 B,$18.36,SE
57,Wihlborgs Fastigheter AB,$3.34 B,$10.87,SE
58,Hemnet Group AB,$3.29 B,$34.39,SE
59,Olink Holding,$3.24 B,$26.08,SE
160,Vitrolife AB,$3.07 B,$22.68,SE
161,Thule Group AB,$3.01 B,$28.53,SE
262,Polestar,$2.72 B,$1.29,SE
63,Bure Equity AB,$2.70 B,$36.55,SE
264,Fabege AB,$2.64 B,$8.41,SE
65,Electrolux,$2.63 B,$10.70,SE
366,BillerudKorsnäs,$2.54 B,$10.23,SE
67,Elekta AB,$2.53 B,$6.65,SE
268,Atrium Ljungberg,$2.52 B,$20.04,SE
169,Corem Property Group AB,$2.52 B,$26.05,SE
70,Hufvudstaden AB,$2.46 B,$12.16,SE
71,Sinch,$2.25 B,$2.67,SE
172,Loomis AB,$2.07 B,$29.80,SE
173,Yubico,$2.07 B,$24.11,SE
274,Vimian Group,$2.07 B,$3.95,SE
75,Peab,$1.98 B,$6.91,SE
176,Paradox Interactive,$1.95 B,$18.48,SE
177,Kinnevik,$1.94 B,$6.93,SE
78,Lindab International,$1.92 B,$25.01,SE
79,Afry AB,$1.90 B,$16.86,SE
80,AddLife AB,$1.85 B,$15.19,SE
81,Dometic Group,$1.82 B,$5.73,SE
82,Vitec Software Group,$1.66 B,$41.76,SE
83,Betsson AB,$1.64 B,$11.96,SE
84,Systemair AB,$1.61 B,$7.79,SE
85,Alleima AB,$1.58 B,$6.33,SE
86,engcon AB,$1.55 B,$10.25,SE
187,OX2 AB,$1.53 B,$5.64,SE
188,NP3 Fastigheter AB,$1.53 B,$24.91,SE
289,NCC,$1.53 B,$15.65,SE
90,OEM International,$1.52 B,$11.01,SE
91,Bravida Holding,$1.51 B,$7.39,SE
92,Xvivo Perfusion AB,$1.50 B,$47.65,SE
93,Truecaller,$1.49 B,$4.35,SE
94,Storskogen Group,$1.38 B,$0.82,SE
95,Biotage AB,$1.36 B,$17.07,SE
96,New Wave Group,$1.36 B,$10.30,SE
197,Nolato AB,$1.34 B,$4.99,SE
198,BioArctic AB,$1.33 B,$15.13,SE
299,Mips AB,$1.30 B,$49.35,SE
100,Bufab AB,$1.29 B,$34.18,SE
