Rank,Name,Market Cap,Price,Country
1,Nestlé,$256.42 B,$99.72,CH
2,Roche,$254.35 B,$315.13,CH
3,Novartis,$234.30 B,$115.73,CH
4,Chubb,$120.35 B,$297.85,CH
5,ABB,$104.51 B,$56.75,CH
6,UBS,$103.60 B,$32.33,CH
7,Zurich Insurance Group,$87.53 B,$607.94,CH
8,Compagnie Financière Richemont,$85.64 B,$146.32,CH
9,Glencore,$63.94 B,$5.26,CH
10,Holcim Group,$54.54 B,$97.09,CH
11,Sika,$46.74 B,$291.38,CH
12,Alcon,$46.53 B,$94.34,CH
13,Givaudan,$45.71 B,"$4,955",CH
14,Lonza,$45.24 B,$627.35,CH
15,TE Connectivity,$44.89 B,$147.73,CH
116,Partners Group,$38.57 B,"$1,478",CH
117,Swiss Re,$38.46 B,$132.46,CH
118,Swisscom,$33.66 B,$649.88,CH
119,DSM-Firmenich,$33.40 B,$125.93,CH
20,Garmin,$31.99 B,$166.47,CH
21,Schindler Group,$31.56 B,$289.99,CH
22,Kühne + Nagel,$30.22 B,$255.44,CH
23,Chocoladefabriken Lindt & Sprüngli,$28.42 B,"$12,385",CH
24,STMicroelectronics,$24.70 B,$27.43,CH
25,Straumann,$23.72 B,$148.81,CH
26,Swiss Life,$23.00 B,$828.84,CH
27,Sonova,$22.08 B,$370.40,CH
28,Galderma Group,$21.46 B,$90.35,CH
29,SGS,$20.65 B,$109.18,CH
30,Geberit,$20.06 B,$607.94,CH
131,Sandoz Group,$19.10 B,$44.45,CH
132,Ems-Chemie,$18.71 B,$800.07,CH
33,Amcor,$16.07 B,$11.12,CH
34,On Holding,$15.46 B,$48.31,CH
35,Logitech,$14.02 B,$91.81,CH
36,Coca-Cola HBC,$13.17 B,$36.39,CH
37,Julius Bär,$13.05 B,$63.75,CH
38,VAT Group,$12.67 B,$422.74,CH
39,Swatch,$10.37 B,$200.97,CH
40,Barry Callebaut,$10.02 B,"$1,831",CH
41,BKW AG,$9.57 B,$181.39,CH
42,Helvetia Holding,$9.24 B,$175.03,CH
43,Bâloise,$9.13 B,$201.38,CH
44,Banque Cantonale Vaudoise,$8.90 B,$103.69,CH
45,Swiss Prime Site,$8.50 B,$110.05,CH
146,BELIMO Holding,$8.24 B,$670.67,CH
147,SIG Combibloc,$8.22 B,$21.52,CH
48,Zurich Airport,$7.26 B,$236.61,CH
49,PSP Swiss Property,$6.57 B,$143.38,CH
50,VZ Holding,$6.56 B,$166.14,CH
51,Ypsomed,$6.43 B,$471.38,CH
52,Avolta AG,$6.01 B,$39.97,CH
53,Bachem,$5.94 B,$79.26,CH
54,Siegfried Holding,$5.72 B,"$1,319",CH
55,SFS Group,$5.67 B,$146.03,CH
56,Adecco Group,$5.42 B,$32.19,CH
57,Temenos,$5.37 B,$73.65,CH
158,Emmi AG,$5.32 B,$994.74,CH
159,Georg Fischer,$5.29 B,$64.70,CH
260,Sulzer,$5.26 B,$155.28,CH
61,Swissquote,$5.20 B,$350.30,CH
62,Accelleron Industries,$5.04 B,$53.75,CH
63,DKSH Holding,$4.76 B,$73.36,CH
64,Clariant,$4.74 B,$14.42,CH
65,Galenica,$4.36 B,$87.52,CH
66,Bucher Industries,$4.30 B,$420.54,CH
67,EFG International,$4.19 B,$13.89,CH
68,CRISPR Therapeutics,$4.13 B,$48.51,CH
69,Dottikon ES,$4.06 B,$294.03,CH
370,Sportradar,$3.80 B,$12.76,CH
171,Luzerner Kantonalbank,$3.74 B,$75.91,CH
72,Transocean,$3.72 B,$4.26,CH
273,Vontobel,$3.70 B,$65.85,CH
74,ALSO Holding,$3.59 B,$293.46,CH
75,Tecan,$3.53 B,$275.66,CH
176,INFICON,$3.16 B,"$1,296",CH
177,dormakaba,$3.12 B,$746.35,CH
78,MoonLake Immunotherapeutics,$3.08 B,$49.02,CH
79,Allreal Holding,$3.01 B,$182.54,CH
80,Dätwyler,$2.99 B,$176.30,CH
81,Stadler Rail,$2.96 B,$29.69,CH
82,St. Galler Kantonalbank,$2.96 B,$495.64,CH
83,Medacta Group,$2.77 B,$139.33,CH
84,Zuger Kantonalbank,$2.76 B,"$9,612",CH
85,Cembra Money Bank,$2.67 B,$91.10,CH
86,Comet Holding,$2.60 B,$334.47,CH
87,Burckhardt Compression,$2.51 B,$742.88,CH
88,Berner Kantonalbank,$2.49 B,$270.35,CH
189,Landis+Gyr,$2.47 B,$85.84,CH
190,SoftwareONE,$2.46 B,$15.97,CH
291,Kardex Holding,$2.43 B,$314.83,CH
92,BB Biotech,$2.39 B,$43.61,CH
93,Mobimo Holding,$2.29 B,$315.98,CH
94,Interroll,$2.23 B,"$2,709",CH
95,Banque Cantonale de Genève,$2.12 B,$298.08,CH
96,SKAN Group,$2.06 B,$91.85,CH
97,Zug Estates Holding,$2.06 B,"$2,155",CH
98,Walliser Kantonalbank,$2.05 B,$131.13,CH
99,Bell Food Group,$1.92 B,$307.32,CH
1100,Bossard Holding,$1.89 B,$245.51,CH
