Rank,Name,Market Cap,Price,Country
1,TSMC,$1.047 T,$201.95,TW
2,Foxconn (Hon Hai Precision Industry),$90.67 B,$6.54,TW
3,MediaTek,$66.03 B,$41.43,TW
4,Fubon Financial,$38.69 B,$2.83,TW
5,Quanta Computer,$37.10 B,$9.63,TW
6,Delta Electronics,$32.36 B,$12.46,TW
7,Cathay Financial Holding,$31.21 B,$2.13,TW
8,Chunghwa Telecom,$29.59 B,$38.02,TW
9,CTBC Financial Holding,$22.62 B,$1.12,TW
10,ASE Group,$22.28 B,$10.31,TW
11,United Microelectronics,$19.78 B,$7.76,TW
12,MFHC,$18.15 B,$1.22,TW
13,Uni-President Enterprises,$15.84 B,$2.79,TW
14,Formosa Petrochemical,$14.62 B,$1.54,TW
15,E.SUN Bank,$14.01 B,$0.88,TW
216,Evergreen Marine,$13.69 B,$6.35,TW
117,ASUS,$13.65 B,$18.38,TW
118,Yuanta Financial Holding,$13.18 B,$1.02,TW
19,Taiwan Cooperative Financial,$12.18 B,$0.80,TW
20,First Financial Holding,$11.90 B,$0.85,TW
21,Hotai Motor,$11.47 B,$20.59,TW
22,Wiwynn,$11.43 B,$61.52,TW
23,Hua Nan Financial Holdings,$11.05 B,$0.80,TW
124,China Steel,$10.96 B,$1.31,TW
125,Taiwan Mobile,$10.69 B,$3.54,TW
26,Nan Ya Plastics,$10.33 B,$1.30,TW
227,Novatek Microelectronics,$10.10 B,$16.60,TW
228,Accton Technology,$10.05 B,$18.01,TW
229,Largan Precision,$9.97 B,$74.76,TW
230,Far EasTone,$9.88 B,$2.74,TW
31,Wistron Corporation,$9.88 B,$3.44,TW
32,Yageo,$9.86 B,$19.56,TW
233,International Games System,$9.74 B,$34.58,TW
134,President Chain Store (PSCS),$9.57 B,$9.21,TW
135,Formosa Plastics,$9.37 B,$1.47,TW
36,Sinopac Financial Holdings,$9.34 B,$0.74,TW
37,China Development Financial,$8.98 B,$0.53,TW
38,Advantech,$8.81 B,$10.22,TW
39,Pegatron,$8.63 B,$3.24,TW
40,Chailease Holding,$8.15 B,$4.86,TW
141,Wan Hai Lines,$7.68 B,$2.74,TW
242,Realtek,$7.60 B,$14.83,TW
43,Lite-On Technology,$7.59 B,$3.30,TW
344,Taiwan Cement,$7.57 B,$1.01,TW
45,eMemory Technology,$7.51 B,$100.62,TW
146,Yang Ming,$7.44 B,$2.13,TW
247,Unimicron,$7.19 B,$4.72,TW
248,Formosa Chemicals & Fibre,$7.08 B,$1.21,TW
149,Taishin Financial Holdings,$7.07 B,$0.55,TW
50,GlobalWafers,$6.44 B,$13.49,TW
151,EVA Air,$6.30 B,$1.17,TW
152,Chang Hwa Commercial Bank,$6.23 B,$0.56,TW
253,Shin Kong Financial Holding,$6.14 B,$0.36,TW
54,Far Eastern New Century,$6.14 B,$1.15,TW
55,Shanghai Commercial and Savings Bank,$5.93 B,$1.22,TW
56,AirTAC International,$5.79 B,$28.97,TW
357,Global Unichip Corp.,$5.28 B,$39.41,TW
158,Vanguard International Semiconductor,$5.19 B,$3.13,TW
159,Asia Cement,$5.19 B,$1.46,TW
160,Taiwan High Speed Rail,$5.12 B,$0.91,TW
61,Alchip Technologies,$4.92 B,$61.68,TW
62,Taiwan Business Bank,$4.51 B,$0.49,TW
63,Nanya Technology,$4.30 B,$1.39,TW
64,China Airlines,$4.07 B,$0.67,TW
65,Innolux,$4.04 B,$0.51,TW
66,Acer,$3.90 B,$1.30,TW
67,Synnex Technology International,$3.75 B,$2.25,TW
68,Sino-American Silicon Products,$3.12 B,$5.09,TW
69,momo.com Inc.,$2.99 B,$11.87,TW
70,VisEra Technologies,$2.95 B,$9.35,TW
71,Nan Ya PCB,$2.77 B,$4.30,TW
72,Powerchip Semiconductor Manufacturing,$2.59 B,$0.62,TW
73,Yulon Motor Company,$1.87 B,$1.77,TW
74,Merida Industry,$1.76 B,$5.83,TW
75,WIN Semiconductors,$1.74 B,$4.13,TW
76,Formosa Sumco Technology,$1.58 B,$4.10,TW
77,Himax,$1.10 B,$6.34,TW
78,Formosa Taffeta,$1.03 B,$0.62,TW
79,Cathay Real Estate Development,$0.90 B,$0.78,TW
80,ChipMOS Technologies,$0.82 B,$22.64,TW
81,Soft-World International,$0.60 B,$4.08,TW
82,Gamania Digital,$0.42 B,$2.40,TW
83,Bafang Yunji,$0.32 B,$4.91,TW
84,Air Asia Company Limited (AACL),$0.21 B,$1.02,TW
85,X-Legend Entertainment,$0.20 B,$3.10,TW
186,Softstar Entertainment,$0.19 B,$1.91,TW
187,Perfect Corp.,$0.19 B,$1.94,TW
88,Gogoro,$0.17 B,$0.59,TW
89,Wayi International Digital Entertainment,$0.16 B,$6.21,TW
90,Userjoy Technology,$0.13 B,$2.45,TW
91,Chinese Gamer International,$0.11 B,$1.38,TW
92,MacroWell OMG Digital Entertainment,$99.26 M,$3.30,TW
93,Gamesparcs,$75.88 M,$1.81,TW
94,Semilux International,$65.68 M,$1.76,TW
95,Gorilla Technology,$57.59 M,$4.96,TW
96,Fun Yours Technology,$36.9 M,$1.55,TW
97,Astro Corporation,$30.8 M,$2.37,TW
98,InterServ International,$16.28 M,$0.70,TW
99,GigaMedia,$14.92 M,$1.35,TW
100,Netmarble Joybomb,$10.79 M,$0.94,TW
