Rank,Name,Market Cap,Price,Country
1,Delta Electronics (Thailand),$48.26 B,$3.87,TH
2,PTT PCL,$29.01 B,$1.02,TH
3,Airports of Thailand,$27.10 B,$1.90,TH
4,Advanced Info Service (AIS),$25.23 B,$8.49,TH
5,Gulf Energy Development Public Company,$24.10 B,$2.05,TH
6,CP All,$17.98 B,$2.00,TH
7,PTT Exploration and Production,$15.24 B,$3.84,TH
8,Bangkok Dusit Medical Services (BDMS),$14.00 B,$0.88,TH
9,True Corporation,$12.07 B,$0.35,TH
10,SCB (Siam Commercial Bank),$11.46 B,$3.41,TH
111,Intouch Holdings,$10.73 B,$3.35,TH
112,Kasikornbank,$10.61 B,$4.48,TH
13,CP Axtra,$10.51 B,$1.01,TH
14,Thai Beverage,$10.30 B,$0.41,TH
15,Central Pattana,$8.98 B,$2.00,TH
16,Krung Thai Bank,$8.93 B,$0.64,TH
17,Bangkok Bank,$8.75 B,$4.59,TH
18,Siam Cement,$7.56 B,$6.30,TH
19,Bumrungrad Hospital,$6.53 B,$8.22,TH
20,Central Retail Corporation,$6.03 B,$1.00,TH
121,Charoen Pokphand Foods,$6.01 B,$0.78,TH
122,PTT Oil and Retail Business,$5.95 B,$0.49,TH
23,TMBThanachart Bank (ttb),$5.35 B,$0.05497,TH
24,Minor International,$4.87 B,$0.86,TH
25,Indorama Ventures,$4.19 B,$0.75,TH
26,Home Product Center,$4.08 B,$0.31,TH
27,Global Power Synergy,$3.95 B,$1.40,TH
28,Thai Life Insurance,$3.83 B,$0.33,TH
29,Krungthai Card,$3.73 B,$1.45,TH
30,Bangkok Expressway and Metro (BEM),$3.69 B,$0.25,TH
31,Asset World Corp,$3.59 B,$0.11,TH
32,PTT Global Chemical,$3.40 B,$0.75,TH
33,Muangthai Capital,$3.29 B,$1.55,TH
34,Thai Oil,$3.10 B,$1.39,TH
35,Berli Jucker (BJC),$3.02 B,$0.75,TH
36,WHA Corporation,$2.54 B,$0.17,TH
37,Siam Global House,$2.53 B,$0.49,TH
38,Carabao Group,$2.39 B,$2.39,TH
39,TISCO Financial Group,$2.33 B,$2.92,TH
40,Land and Houses,$2.19 B,$0.18,TH
41,Ratch Group,$2.19 B,$1.01,TH
242,Electricity Generating Public Company,$1.96 B,$3.73,TH
43,Srisawad Corporation,$1.95 B,$1.28,TH
244,Osotspa,$1.92 B,$0.64,TH
45,Banpu Public Company,$1.91 B,$0.19,TH
246,Thai Union Group,$1.88 B,$0.44,TH
47,B.Grimm Power,$1.85 B,$0.71,TH
248,Com7 Public Company,$1.84 B,$0.78,TH
49,BTS Group,$1.79 B,$0.14,TH
50,Ngern Tid Lor,$1.60 B,$0.55,TH
51,Siam City Cement (INSEE),$1.51 B,$5.08,TH
152,Bangkok Airways,$1.48 B,$0.71,TH
153,Central Plaza Hotel,$1.48 B,$1.10,TH
54,Energy Absolute,$0.91 B,$0.25,TH
55,Sri Trang Gloves,$0.89 B,$0.31,TH
56,Esso (Thailand),$0.87 B,$0.25,TH
57,Birla Carbon (Thailand),$0.65 B,$2.17,TH
58,Nok Air,$0.11 B,$0.001000,TH
59,Asiasoft,$71.59 M,$0.14,TH
