Rank,Name,Market Cap,Price,Country
1,QNB Finansbank,$27.45 B,$8.19,TR
2,GarantiBank,$13.32 B,$3.17,TR
3,Koç Holding,$12.64 B,$4.99,TR
4,Turkish Airlines,$10.82 B,$7.87,TR
5,Ford Otosan,$9.86 B,$28.12,TR
6,Türkiye Is Bankasi,$8.87 B,$0.33,TR
7,Türkiye Petrol Rafinerileri,$8.14 B,$4.23,TR
8,BİM Birleşik Mağazalar,$7.77 B,$13.02,TR
9,ENKA,$7.68 B,$1.34,TR
10,Aselsan,$7.67 B,$1.68,TR
11,Akbank,$7.36 B,$1.42,TR
12,Yapı Kredi,$5.95 B,$0.70,TR
13,Turkcell,$5.52 B,$6.33,TR
14,Sabancı Holding,$4.83 B,$2.31,TR
115,Türk Telekom,$4.67 B,$1.34,TR
116,Erdemir,$4.66 B,$1.39,TR
17,VakıfBank,$4.15 B,$0.62,TR
18,Coca-Cola İçecek,$4.03 B,$1.44,TR
119,Pegasus Airlines,$3.49 B,$7.00,TR
120,Şişecam,$3.47 B,$1.13,TR
21,Halkbank,$3.31 B,$0.46,TR
22,Efes Beverage Group,$3.04 B,$5.15,TR
123,İsdemir,$2.94 B,$1.02,TR
124,QNB Finans Finansal Kiralama (QNB Finansleasing),$2.92 B,$2.92,TR
25,Tofaş Türk Otomobil Fabrikası,$2.82 B,$5.66,TR
26,Arçelik,$2.46 B,$4.06,TR
27,TAV Airports Holding,$2.41 B,$6.64,TR
28,Türkiye Kalkınma,$2.32 B,$0.42,TR
29,Migros Ticaret A.S.,$2.09 B,$11.79,TR
30,OYAK Çimento,$1.99 B,$1.60,TR
31,Koza Gold,$1.87 B,$0.59,TR
32,Enerjisa Enerji,$1.83 B,$1.55,TR
33,GÜBRETAŞ,$1.78 B,$5.35,TR
34,Is Yatirim Menkul Degerler Anonim Sirketi,$1.37 B,$0.92,TR
35,Aksa Energy,$1.20 B,$0.98,TR
136,Mavi Giyim Sanayi ve Ticaret,$0.89 B,$2.25,TR
137,Hektaş,$0.88 B,$0.11,TR
38,Sasa Polyester,$0.86 B,$0.16,TR
39,Cimbeton,$0.12 B,$68.98,TR
40,Marti Technologies,$0.11 B,$2.04,TR
41,İşbir Holding,$0.11 B,$2.86,TR
42,Söktas Tekstil,$38.33 M,$0.17,TR
