Rank,Name,Market Cap,Price,Country
1,AstraZeneca,$240.10 B,$77.44,GB
2,Linde,$230.80 B,$483.36,GB
3,Shell,$206.77 B,$67.05,GB
4,HSBC,$160.68 B,$44.18,GB
5,Arm Holdings,$159.66 B,$152.35,GB
6,Unilever,$154.84 B,$62.30,GB
7,Rio Tinto,$103.66 B,$64.95,GB
8,RELX,$88.88 B,$47.63,GB
9,BP,$83.03 B,$31.47,GB
10,GlaxoSmithKline,$78.48 B,$38.16,GB
211,British American Tobacco,$77.65 B,$34.25,GB
112,Aon,$77.64 B,$357.43,GB
113,Diageo,$76.14 B,$137.07,GB
14,London Stock Exchange,$73.08 B,$137.87,GB
15,National Grid,$65.50 B,$67.03,GB
16,Rolls-Royce Holdings,$62.63 B,$7.36,GB
17,Compass Group,$55.09 B,$32.47,GB
18,BAE Systems,$52.10 B,$17.24,GB
19,Lloyds Banking Group,$48.71 B,$3.18,GB
20,Barclays,$45.74 B,$12.61,GB
21,Haleon,$45.12 B,$9.98,GB
22,Reckitt Benckiser,$43.30 B,$62.65,GB
23,3i Group,$42.44 B,$44.02,GB
24,Ferguson,$40.08 B,$199.67,GB
25,NatWest Group,$39.05 B,$9.38,GB
26,Anglo American,$37.19 B,$30.68,GB
27,Coca-Cola European Partners,$35.56 B,$77.15,GB
28,Ashtead,$33.12 B,$75.85,GB
29,Tesco,$31.60 B,$4.64,GB
30,Willis Towers Watson,$29.50 B,$290.50,GB
31,SSE,$27.03 B,$24.65,GB
32,Standard Chartered,$26.57 B,$10.87,GB
133,Imperial Brands,$25.27 B,$29.99,GB
134,Vodafone,$25.17 B,$9.63,GB
135,Antofagasta,$23.23 B,$23.57,GB
136,Prudential,$22.96 B,$17.10,GB
37,Associated British Foods,$22.19 B,$30.16,GB
38,BT Group,$18.54 B,$1.90,GB
39,InterContinental Hotels Group,$17.90 B,$113.03,GB
40,Legal & General,$17.28 B,$2.96,GB
41,Aviva,$16.78 B,$6.32,GB
42,Royalty Pharma,$16.46 B,$27.75,GB
43,Pentair,$16.27 B,$98.36,GB
44,Next plc,$15.74 B,$132.09,GB
145,Bunzl,$15.41 B,$46.18,GB
146,Summit Therapeutics,$15.06 B,$20.50,GB
47,SEGRO,$14.46 B,$10.69,GB
48,Informa plc,$14.18 B,$10.74,GB
49,CNH Industrial,$13.75 B,$10.97,GB
50,Sage Group,$13.28 B,$13.33,GB
51,Smith & Nephew,$12.80 B,$29.37,GB
52,nVent Electric,$12.41 B,$74.69,GB
53,Rentokil Initial,$12.27 B,$24.44,GB
54,Halma,$12.24 B,$32.47,GB
155,TechnipFMC,$10.88 B,$25.42,GB
156,WPP,$10.87 B,$50.44,GB
157,Severn Trent,$10.44 B,$34.81,GB
158,Admiral Group,$10.38 B,$35.04,GB
259,Intertek,$10.29 B,$63.87,GB
60,Auto Trader Group,$10.20 B,$11.41,GB
61,Marks & Spencer,$10.04 B,$4.98,GB
62,United Utilities,$9.55 B,$14.01,GB
63,Wise PLC,$9.37 B,$9.14,GB
164,Barratt Developments,$9.03 B,$6.26,GB
165,JD Sports Fashion,$9.01 B,$1.74,GB
66,Pearson,$8.92 B,$13.37,GB
67,Roivant Sciences,$8.59 B,$11.62,GB
68,Centrica,$8.50 B,$1.65,GB
69,Sainsbury's,$8.39 B,$3.61,GB
170,DS Smith,$8.18 B,$5.94,GB
171,Intermediate Capital Group (ICG),$8.00 B,$27.56,GB
72,Schroders,$7.73 B,$4.80,GB
73,Liberty Global,$7.72 B,$21.60,GB
74,Whitbread,$7.62 B,$42.69,GB
75,Diploma plc,$7.61 B,$56.78,GB
76,Taylor Wimpey,$7.37 B,$2.08,GB
77,Melrose Industries,$7.36 B,$5.71,GB
78,Kingfisher,$7.33 B,$4.04,GB
79,Mondi,$7.25 B,$16.46,GB
180,Smiths Group,$7.18 B,$20.94,GB
181,The Weir Group,$7.16 B,$27.59,GB
82,Phoenix Group,$6.89 B,$6.88,GB
183,Croda International,$6.80 B,$48.73,GB
184,Persimmon,$6.77 B,$21.18,GB
85,Hargreaves Lansdown,$6.69 B,$14.11,GB
486,Investec,$6.47 B,$7.34,GB
187,Beazley,$6.46 B,$10.30,GB
188,Rightmove,$6.43 B,$8.20,GB
389,Janus Henderson,$6.42 B,$40.36,GB
290,M&G plc,$6.40 B,$2.69,GB
291,Spirax-Sarco Engineering,$6.38 B,$86.76,GB
192,Howden Joinery,$6.37 B,$11.60,GB
93,The Berkeley Group,$6.35 B,$62.17,GB
94,Land Securities Group,$6.14 B,$8.25,GB
95,Convatec Group,$6.06 B,$2.96,GB
296,Endeavour Mining,$6.00 B,$24.63,GB
197,St. James's Place,$6.00 B,$11.12,GB
198,IMI plc,$5.90 B,$23.16,GB
99,Unite Group (Unite Students),$5.83 B,$11.95,GB
100,Hikma Pharmaceuticals,$5.75 B,$25.94,GB
