Rank,Name,Market Cap,Price,Country
1,Apple,$3.595 T,$236.48,US
2,NVIDIA,$3.525 T,$143.71,US
3,Microsoft,$3.112 T,$418.78,US
4,Alphabet (Google),$2.029 T,$165.80,US
5,Amazon,$1.984 T,$189.07,US
6,Meta Platforms (Facebook),$1.455 T,$575.16,US
7,Berkshire Hathaway,$1.001 T,$464.16,US
8,Broadcom,$840.65 B,$179.99,US
9,Eli Lilly,$815.90 B,$906.13,US
10,Tesla,$699.14 B,$218.85,US
11,Walmart,$649.57 B,$80.81,US
12,JPMorgan Chase,$627.81 B,$223.00,US
13,Visa,$558.17 B,$286.85,US
14,Exxon Mobil,$533.49 B,$120.08,US
15,UnitedHealth,$527.70 B,$571.47,US
16,Oracle,$481.49 B,$173.76,US
17,Mastercard,$475.78 B,$515.01,US
18,Home Depot,$403.67 B,$406.40,US
19,Procter & Gamble,$399.27 B,$169.54,US
120,Costco,$392.90 B,$886.77,US
121,Johnson & Johnson,$391.97 B,$162.83,US
122,Netflix,$331.34 B,$772.07,US
123,AbbVie,$329.49 B,$186.54,US
24,Bank of America,$321.08 B,$41.76,US
25,Coca-Cola,$299.32 B,$69.45,US
26,Salesforce,$278.47 B,$291.29,US
127,Chevron,$273.80 B,$150.88,US
128,Merck,$269.55 B,$106.34,US
29,T-Mobile US,$259.92 B,$222.77,US
30,AMD,$255.55 B,$157.90,US
31,Pepsico,$240.11 B,$175.01,US
32,Thermo Fisher Scientific,$227.42 B,$595.37,US
33,McDonald,$225.88 B,$314.89,US
34,Cisco,$225.83 B,$56.59,US
135,Adobe,$219.09 B,$497.71,US
136,Wells Fargo,$217.90 B,$64.02,US
37,IBM,$213.47 B,$231.75,US
38,General Electric,$210.60 B,$194.23,US
39,Abbott Laboratories,$203.55 B,$116.99,US
40,Danaher,$196.50 B,$272.09,US
141,American Express,$190.72 B,$270.74,US
142,Morgan Stanley,$190.66 B,$118.28,US
43,Caterpillar,$189.34 B,$390.48,US
144,ServiceNow,$189.04 B,$918.34,US
145,QUALCOMM,$188.27 B,$169.01,US
46,Philip Morris,$184.95 B,$118.96,US
47,Intuitive Surgical,$184.80 B,$518.86,US
48,Verizon,$183.95 B,$43.70,US
49,Texas Instruments,$178.74 B,$195.77,US
50,Walt Disney,$175.22 B,$96.62,US
51,Nextera Energy,$172.71 B,$84.03,US
152,Intuit,$172.07 B,$613.93,US
153,Amgen,$170.19 B,$316.74,US
254,Uber,$169.04 B,$80.46,US
155,Raytheon Technologies,$167.47 B,$125.90,US
156,Pfizer,$163.93 B,$28.93,US
157,S&P Global,$163.75 B,$523.19,US
358,Goldman Sachs,$163.52 B,$517.80,US
159,Lowe's Companies,$157.04 B,$276.84,US
160,Comcast,$156.95 B,$40.53,US
61,AT&T,$155.30 B,$21.66,US
62,Applied Materials,$152.06 B,$184.46,US
63,BlackRock,$148.20 B,"$1,001",US
164,Progressive,$146.88 B,$250.74,US
265,Lockheed Martin,$146.49 B,$614.61,US
266,Union Pacific Corporation,$146.42 B,$240.35,US
167,Booking Holdings (Booking.com),$146.29 B,"$4,364",US
68,Honeywell,$143.90 B,$221.50,US
69,Stryker Corporation,$139.94 B,$367.25,US
70,TJX Companies,$130.44 B,$115.66,US
171,Boston Scientific,$129.66 B,$88.05,US
172,Charles Schwab,$129.64 B,$70.87,US
73,KKR & Co.,$129.60 B,$140.57,US
74,Arista Networks,$127.54 B,$406.01,US
75,Vertex Pharmaceuticals,$123.39 B,$478.09,US
76,Blackstone Group,$123.29 B,$170.77,US
377,Palo Alto Networks,$123.21 B,$378.41,US
178,ConocoPhillips,$121.91 B,$104.99,US
279,Nike,$121.28 B,$81.48,US
280,Micron Technology,$120.94 B,$109.08,US
81,Automatic Data Processing,$118.64 B,$290.91,US
82,Citigroup,$116.93 B,$61.83,US
283,Fiserv,$113.51 B,$197.17,US
184,United Parcel Service,$112.49 B,$131.33,US
185,Analog Devices,$112.04 B,$225.67,US
286,Prologis,$111.76 B,$117.77,US
87,Deere & Company,$111.34 B,$406.96,US
188,Starbucks,$109.29 B,$96.45,US
189,Marsh & McLennan Companies,$109.19 B,$222.06,US
190,Gilead Sciences,$107.43 B,$86.29,US
191,Regeneron Pharmaceuticals,$106.76 B,$968.50,US
192,HCA Healthcare,$106.00 B,$410.76,US
193,Bristol-Myers Squibb,$105.66 B,$52.12,US
94,American Tower,$103.44 B,$221.47,US
95,Southern Company,$101.49 B,$92.73,US
696,Boeing,$98.48 B,$159.82,US
197,Elevance Health,$97.93 B,$422.26,US
98,Intel,$97.66 B,$22.84,US
299,Sherwin-Williams,$96.29 B,$381.75,US
1100,Palantir,$95.62 B,$42.70,US
